group,zone_id,timestamp,occupancy,utilisation,energy_per_point_hour,duration_per_point,robust_score,forest_score
both,346,2022-09-24 22:00:00,61,1,131.708,0.187158,15.5133,0.710133
both,346,2023-02-23 22:00:00,40,0.655738,173.241,0.18125,8.43113,0.681436
both,595,2022-12-09 12:00:00,137,1,148.333,0.00547445,12.4474,0.678245
both,775,2022-09-10 10:00:00,2,0.0769231,240,1,6.96974,0.683791
both,775,2022-12-21 00:00:00,16,0.615385,240,1.25521,10.1174,0.699284
both,844,2022-09-03 11:00:00,48,0.727273,196.712,1.01389,7.51575,0.695187
both,844,2023-01-27 03:00:00,9,0.136364,200,0.037037,6.32335,0.681406
both,895,2022-09-24 22:00:00,45,1,182.857,0.116667,13.1526,0.733326
robust_only,321,2022-11-21 00:00:00,18,0.409091,7,0.0555556,8.76838,0.522592
robust_only,340,2023-02-21 03:00:00,17,0.73913,3.5,0.00490196,6.07042,0.575165
robust_only,516,2023-01-25 05:00:00,12,0.169014,17.6,0.833333,6.40766,0.442209
robust_only,686,2022-11-02 01:00:00,0,0,0,0,8.09389,0.552644
robust_only,690,2023-01-28 01:00:00,13,0.185714,121.259,1.03846,8.09389,0.628405
robust_only,733,2023-01-22 03:00:00,28,0.215385,7,0.964286,9.44287,0.461121
robust_only,751,2022-12-15 12:00:00,60,0.833333,7,0.111111,6.47511,0.565468
robust_only,805,2022-10-26 12:00:00,2,0.166667,7,0.0833333,6.07042,0.445308
forest_only,708,2023-02-01 00:00:00,9,0.290323,169.922,1.90741,0.674491,0.680601
forest_only,775,2022-11-22 04:00:00,24,0.923077,240,1.01042,1.01174,0.704399
forest_only,775,2023-01-20 10:00:00,21,0.807692,240,0.972222,0.22483,0.68639
forest_only,775,2023-01-30 04:00:00,23,0.884615,240,0.981884,0.809389,0.702344
forest_only,777,2022-12-03 00:00:00,73,0.603306,140.587,0.342466,1.82113,0.680877
forest_only,844,2022-12-11 06:00:00,46,0.69697,196.391,0.963768,0.674491,0.696612
forest_only,844,2023-01-18 21:00:00,1,0.0151515,200,1.58333,3.37245,0.70738
forest_only,895,2022-10-16 01:00:00,29,0.644444,194.563,0.887931,0.764423,0.691278
