estimate,budget_points,rule,zone_id,points_added
rated,50,by_utilisation,102,1
rated,50,by_utilisation,106,1
rated,50,by_utilisation,316,1
rated,50,by_utilisation,331,1
rated,50,by_utilisation,346,1
rated,50,by_utilisation,501,1
rated,50,by_utilisation,519,1
rated,50,by_utilisation,522,1
rated,50,by_utilisation,526,1
rated,50,by_utilisation,528,1
rated,50,by_utilisation,559,1
rated,50,by_utilisation,568,1
rated,50,by_utilisation,570,1
rated,50,by_utilisation,575,1
rated,50,by_utilisation,582,1
rated,50,by_utilisation,588,1
rated,50,by_utilisation,596,1
rated,50,by_utilisation,601,1
rated,50,by_utilisation,633,1
rated,50,by_utilisation,647,1
rated,50,by_utilisation,651,1
rated,50,by_utilisation,691,1
rated,50,by_utilisation,698,1
rated,50,by_utilisation,715,1
rated,50,by_utilisation,719,1
rated,50,by_utilisation,733,1
rated,50,by_utilisation,744,1
rated,50,by_utilisation,771,1
rated,50,by_utilisation,775,1
rated,50,by_utilisation,790,1
rated,50,by_utilisation,792,1
rated,50,by_utilisation,795,1
rated,50,by_utilisation,809,1
rated,50,by_utilisation,832,1
rated,50,by_utilisation,851,1
rated,50,by_utilisation,858,1
rated,50,by_utilisation,881,1
rated,50,by_utilisation,882,1
rated,50,by_utilisation,888,1
rated,50,by_utilisation,890,1
rated,50,by_utilisation,943,1
rated,50,by_utilisation,965,1
rated,50,by_utilisation,974,1
rated,50,by_utilisation,981,1
rated,50,by_utilisation,986,1
rated,50,by_utilisation,996,1
rated,50,by_utilisation,1029,1
rated,50,by_utilisation,1071,1
rated,50,by_utilisation,1098,1
rated,50,by_utilisation,1124,1
rated,50,by_marginal_energy,575,5
rated,50,by_marginal_energy,708,1
rated,50,by_marginal_energy,715,6
rated,50,by_marginal_energy,775,13
rated,50,by_marginal_energy,844,3
rated,50,by_marginal_energy,1029,22
rated,50,balanced,102,1
rated,50,balanced,106,1
rated,50,balanced,316,1
rated,50,balanced,331,1
rated,50,balanced,501,1
rated,50,balanced,522,1
rated,50,balanced,528,1
rated,50,balanced,568,1
rated,50,balanced,570,1
rated,50,balanced,575,2
rated,50,balanced,596,1
rated,50,balanced,601,1
rated,50,balanced,633,1
rated,50,balanced,651,1
rated,50,balanced,691,1
rated,50,balanced,715,3
rated,50,balanced,719,1
rated,50,balanced,771,1
rated,50,balanced,775,7
rated,50,balanced,809,1
rated,50,balanced,851,1
rated,50,balanced,881,1
rated,50,balanced,882,1
rated,50,balanced,890,1
rated,50,balanced,1029,17
rated,100,by_utilisation,102,1
rated,100,by_utilisation,106,1
rated,100,by_utilisation,108,1
rated,100,by_utilisation,208,1
rated,100,by_utilisation,227,1
rated,100,by_utilisation,235,1
rated,100,by_utilisation,316,1
rated,100,by_utilisation,328,1
rated,100,by_utilisation,330,1
rated,100,by_utilisation,331,1
rated,100,by_utilisation,333,1
rated,100,by_utilisation,335,1
rated,100,by_utilisation,340,1
rated,100,by_utilisation,346,1
rated,100,by_utilisation,501,1
rated,100,by_utilisation,513,1
rated,100,by_utilisation,516,1
rated,100,by_utilisation,519,1
rated,100,by_utilisation,520,1
rated,100,by_utilisation,522,1
rated,100,by_utilisation,526,1
rated,100,by_utilisation,528,1
rated,100,by_utilisation,552,1
rated,100,by_utilisation,558,1
rated,100,by_utilisation,559,1
rated,100,by_utilisation,568,1
rated,100,by_utilisation,570,1
rated,100,by_utilisation,575,1
rated,100,by_utilisation,576,1
rated,100,by_utilisation,582,1
rated,100,by_utilisation,588,1
rated,100,by_utilisation,592,1
rated,100,by_utilisation,595,1
rated,100,by_utilisation,596,1
rated,100,by_utilisation,601,1
rated,100,by_utilisation,628,1
rated,100,by_utilisation,632,1
rated,100,by_utilisation,633,1
rated,100,by_utilisation,647,1
rated,100,by_utilisation,651,1
rated,100,by_utilisation,682,1
rated,100,by_utilisation,690,1
rated,100,by_utilisation,691,1
rated,100,by_utilisation,693,1
rated,100,by_utilisation,698,1
rated,100,by_utilisation,701,1
rated,100,by_utilisation,703,1
rated,100,by_utilisation,704,1
rated,100,by_utilisation,706,1
rated,100,by_utilisation,708,1
rated,100,by_utilisation,715,1
rated,100,by_utilisation,716,1
rated,100,by_utilisation,719,1
rated,100,by_utilisation,733,1
rated,100,by_utilisation,744,1
rated,100,by_utilisation,745,1
rated,100,by_utilisation,746,1
rated,100,by_utilisation,771,1
rated,100,by_utilisation,773,1
rated,100,by_utilisation,775,1
rated,100,by_utilisation,790,1
rated,100,by_utilisation,792,1
rated,100,by_utilisation,795,1
rated,100,by_utilisation,799,1
rated,100,by_utilisation,802,1
rated,100,by_utilisation,805,1
rated,100,by_utilisation,809,1
rated,100,by_utilisation,832,1
rated,100,by_utilisation,842,1
rated,100,by_utilisation,844,1
rated,100,by_utilisation,848,1
rated,100,by_utilisation,851,1
rated,100,by_utilisation,858,1
rated,100,by_utilisation,881,1
rated,100,by_utilisation,882,1
rated,100,by_utilisation,883,1
rated,100,by_utilisation,888,1
rated,100,by_utilisation,890,1
rated,100,by_utilisation,900,1
rated,100,by_utilisation,943,1
rated,100,by_utilisation,965,1
rated,100,by_utilisation,972,1
rated,100,by_utilisation,974,1
rated,100,by_utilisation,981,1
rated,100,by_utilisation,982,1
rated,100,by_utilisation,986,1
rated,100,by_utilisation,991,1
rated,100,by_utilisation,996,1
rated,100,by_utilisation,1026,1
rated,100,by_utilisation,1029,1
rated,100,by_utilisation,1049,1
rated,100,by_utilisation,1067,1
rated,100,by_utilisation,1071,1
rated,100,by_utilisation,1075,1
rated,100,by_utilisation,1083,1
rated,100,by_utilisation,1098,1
rated,100,by_utilisation,1124,1
rated,100,by_utilisation,1164,1
rated,100,by_utilisation,1167,1
rated,100,by_utilisation,1172,1
rated,100,by_marginal_energy,575,10
