estimate,budget_points,served_no_investment_kwh,served_by_utilisation_kwh,served_by_marginal_kwh,served_balanced_kwh,gain_by_utilisation_kwh,gain_by_marginal_kwh,marginal_rule_serves_more,extra_energy_from_marginal_rule_kwh
rated,50,3.62694e+07,3.63074e+07,3.65126e+07,3.64674e+07,37968.1,243128,True,205160
rated,100,3.62604e+07,3.63051e+07,3.65788e+07,3.65175e+07,44699.2,318384,True,273685
rated,200,3.62772e+07,3.63432e+07,3.66548e+07,3.66085e+07,66069.8,377615,True,311545
rated,400,3.62522e+07,3.63777e+07,3.66725e+07,3.66402e+07,125515,420353,True,294838
rated,800,3.62762e+07,3.64862e+07,3.67445e+07,3.67046e+07,209960,468273,True,258313
11kw,50,1.52609e+07,1.5269e+07,1.52847e+07,1.52802e+07,8038.38,23766.9,True,15728.5
11kw,100,1.5262e+07,1.52709e+07,1.52982e+07,1.52914e+07,8908.21,36139,True,27230.8
11kw,200,1.52643e+07,1.52766e+07,1.53102e+07,1.53044e+07,12379.6,45945.5,True,33565.9
11kw,400,1.52656e+07,1.52885e+07,1.53187e+07,1.53135e+07,22897.9,53138.1,True,30240.2
11kw,800,1.52602e+07,1.52973e+07,1.53317e+07,1.53179e+07,37106.4,71523,True,34416.6
