target,horizon,fold,family,day_of_week,n,mae,mase
occupancy,1,0,last_observation,0,13200,1.86352,0.431714
occupancy,1,0,last_observation,1,13200,1.92913,0.430585
occupancy,1,0,last_observation,2,13200,1.74049,0.403657
occupancy,1,0,last_observation,3,13200,2.25648,0.50798
occupancy,1,0,last_observation,4,13200,2.01318,0.453844
occupancy,1,0,last_observation,5,13200,1.70106,0.398159
occupancy,1,0,last_observation,6,13200,1.56636,0.356398
occupancy,1,0,seasonal_naive_daily,0,13200,4.4736,1.16823
occupancy,1,0,seasonal_naive_daily,1,13200,3.18239,0.899492
occupancy,1,0,seasonal_naive_daily,2,13200,3.1886,0.875865
occupancy,1,0,seasonal_naive_daily,3,13200,3.20163,0.915631
occupancy,1,0,seasonal_naive_daily,4,13200,3.30299,0.915851
occupancy,1,0,seasonal_naive_daily,5,13200,4.24273,1.10574
occupancy,1,0,seasonal_naive_daily,6,13200,3.22292,0.912413
occupancy,1,0,seasonal_naive_weekly,0,13200,3.77034,1.04781
occupancy,1,0,seasonal_naive_weekly,1,13200,3.77356,1.03253
occupancy,1,0,seasonal_naive_weekly,2,13200,6.22886,1.58252
occupancy,1,0,seasonal_naive_weekly,3,13200,4.01447,1.09921
occupancy,1,0,seasonal_naive_weekly,4,13200,3.90833,1.05862
occupancy,1,0,seasonal_naive_weekly,5,13200,3.45898,0.998625
occupancy,1,0,seasonal_naive_weekly,6,13200,3.43504,0.974136
occupancy,1,0,autoregressive,0,13200,1.86525,0.47321
occupancy,1,0,autoregressive,1,13200,1.76078,0.443674
occupancy,1,0,autoregressive,2,13200,1.66507,0.425592
occupancy,1,0,autoregressive,3,13200,2.10555,0.522618
occupancy,1,0,autoregressive,4,13200,1.81689,0.461399
occupancy,1,0,autoregressive,5,13200,1.66932,0.432165
occupancy,1,0,autoregressive,6,13200,1.55467,0.397853
occupancy,1,0,zone_ridge,0,13200,1.8846,0.487898
occupancy,1,0,zone_ridge,1,13200,1.87648,0.470001
occupancy,1,0,zone_ridge,2,13200,1.78447,0.451429
occupancy,1,0,zone_ridge,3,13200,2.1275,0.527732
occupancy,1,0,zone_ridge,4,13200,1.85159,0.473689
occupancy,1,0,zone_ridge,5,13200,1.67827,0.441236
occupancy,1,0,zone_ridge,6,13200,1.67287,0.429
occupancy,1,0,zone_gbm,0,13200,1.89905,0.521457
occupancy,1,0,zone_gbm,1,13200,1.92609,0.513102
occupancy,1,0,zone_gbm,2,13200,1.76863,0.465249
occupancy,1,0,zone_gbm,3,13200,2.05864,0.53941
occupancy,1,0,zone_gbm,4,13200,1.89616,0.518649
occupancy,1,0,zone_gbm,5,13200,1.87404,0.520575
occupancy,1,0,zone_gbm,6,13200,1.79073,0.492863
occupancy,1,0,global_ridge,0,13200,2.10092,0.548949
occupancy,1,0,global_ridge,1,13200,1.9777,0.50264
occupancy,1,0,global_ridge,2,13200,1.93974,0.496359
occupancy,1,0,global_ridge,3,13200,2.18739,0.56553
occupancy,1,0,global_ridge,4,13200,2.00501,0.518904
occupancy,1,0,global_ridge,5,13200,1.78214,0.489074
occupancy,1,0,global_ridge,6,13200,1.69097,0.457736
occupancy,1,0,global_gbm,0,13200,1.67836,0.436004
occupancy,1,0,global_gbm,1,13200,1.69157,0.427329
occupancy,1,0,global_gbm,2,13200,1.55831,0.40436
occupancy,1,0,global_gbm,3,13200,2.12259,0.526933
occupancy,1,0,global_gbm,4,13200,2.00586,0.495166
occupancy,1,0,global_gbm,5,13200,1.64969,0.423104
occupancy,1,0,global_gbm,6,13200,1.53779,0.385198
occupancy,1,1,last_observation,0,13200,1.80326,0.41682
occupancy,1,1,last_observation,1,13200,1.87879,0.437254
occupancy,1,1,last_observation,2,13200,1.83417,0.414773
occupancy,1,1,last_observation,3,13200,1.80765,0.415395
occupancy,1,1,last_observation,4,13200,1.8222,0.419688
occupancy,1,1,last_observation,5,13200,1.57652,0.382806
occupancy,1,1,last_observation,6,13200,1.35765,0.318135
occupancy,1,1,seasonal_naive_daily,0,13200,4.65845,1.1934
occupancy,1,1,seasonal_naive_daily,1,13200,3.15106,0.885923
occupancy,1,1,seasonal_naive_daily,2,13200,2.91807,0.854037
occupancy,1,1,seasonal_naive_daily,3,13200,2.90341,0.842684
occupancy,1,1,seasonal_naive_daily,4,13200,2.86784,0.838812
occupancy,1,1,seasonal_naive_daily,5,13200,4.27981,1.10334
occupancy,1,1,seasonal_naive_daily,6,13200,3.20795,0.906501
occupancy,1,1,seasonal_naive_weekly,0,13200,3.50955,1.01258
occupancy,1,1,seasonal_naive_weekly,1,13200,3.6553,1.0178
occupancy,1,1,seasonal_naive_weekly,2,13200,3.48292,0.98538
occupancy,1,1,seasonal_naive_weekly,3,13200,3.69663,1.03224
