target,horizon,fold,family,hour_of_day,n,mae,mase
occupancy,1,0,last_observation,0,3850,2.54416,0.551492
occupancy,1,0,last_observation,1,3850,2.57338,0.536903
occupancy,1,0,last_observation,2,3850,0.988052,0.207743
occupancy,1,0,last_observation,3,3850,0.786104,0.166133
occupancy,1,0,last_observation,4,3850,0.694675,0.135402
occupancy,1,0,last_observation,5,3850,0.750779,0.146031
occupancy,1,0,last_observation,6,3850,0.896364,0.172571
occupancy,1,0,last_observation,7,3850,1.5787,0.321722
occupancy,1,0,last_observation,8,3850,3.96974,0.834911
occupancy,1,0,last_observation,9,3850,3.68143,0.862425
occupancy,1,0,last_observation,10,3850,2.11403,0.51525
occupancy,1,0,last_observation,11,3850,1.47753,0.362858
occupancy,1,0,last_observation,12,3850,1.48662,0.384685
occupancy,1,0,last_observation,13,3850,1.90494,0.446607
occupancy,1,0,last_observation,14,3850,1.71234,0.410426
occupancy,1,0,last_observation,15,3850,1.46234,0.350097
occupancy,1,0,last_observation,16,3850,1.50584,0.365836
occupancy,1,0,last_observation,17,3850,1.54364,0.379811
occupancy,1,0,last_observation,18,3850,1.99429,0.492824
occupancy,1,0,last_observation,19,3850,2.98013,0.678792
occupancy,1,0,last_observation,20,3850,2.80792,0.623577
occupancy,1,0,last_observation,21,3850,2.03364,0.476854
occupancy,1,0,last_observation,22,3850,1.82208,0.439098
occupancy,1,0,last_observation,23,3850,1.50351,0.363107
occupancy,1,0,seasonal_naive_daily,0,3850,4.78104,1.23294
occupancy,1,0,seasonal_naive_daily,1,3850,3.08312,0.898911
occupancy,1,0,seasonal_naive_daily,2,3850,3.00286,0.878809
occupancy,1,0,seasonal_naive_daily,3,3850,3.04026,0.878738
occupancy,1,0,seasonal_naive_daily,4,3850,3.09065,0.881711
occupancy,1,0,seasonal_naive_daily,5,3850,3.16234,0.891492
occupancy,1,0,seasonal_naive_daily,6,3850,3.17039,0.900896
occupancy,1,0,seasonal_naive_daily,7,3850,3.15896,0.88757
occupancy,1,0,seasonal_naive_daily,8,3850,3.75117,0.978392
occupancy,1,0,seasonal_naive_daily,9,3850,4.1174,1.0617
occupancy,1,0,seasonal_naive_daily,10,3850,4.1174,1.07485
occupancy,1,0,seasonal_naive_daily,11,3850,4.10935,1.08014
occupancy,1,0,seasonal_naive_daily,12,3850,3.95532,1.04788
occupancy,1,0,seasonal_naive_daily,13,3850,3.86857,1.03204
occupancy,1,0,seasonal_naive_daily,14,3850,3.79688,1.01879
occupancy,1,0,seasonal_naive_daily,15,3850,3.80065,1.01927
occupancy,1,0,seasonal_naive_daily,16,3850,3.85792,1.01976
occupancy,1,0,seasonal_naive_daily,17,3850,3.73558,0.996862
occupancy,1,0,seasonal_naive_daily,18,3850,3.65896,0.970784
occupancy,1,0,seasonal_naive_daily,19,3850,3.33351,0.921202
occupancy,1,0,seasonal_naive_daily,20,3850,3.10286,0.898376
occupancy,1,0,seasonal_naive_daily,21,3850,3.22429,0.931645
occupancy,1,0,seasonal_naive_daily,22,3850,3.06104,0.892456
occupancy,1,0,seasonal_naive_daily,23,3850,3.09896,0.895871
occupancy,1,0,seasonal_naive_weekly,0,3850,5.42039,1.40043
occupancy,1,0,seasonal_naive_weekly,1,3850,4.02286,1.11815
occupancy,1,0,seasonal_naive_weekly,2,3850,3.63545,1.01669
occupancy,1,0,seasonal_naive_weekly,3,3850,3.96701,1.10231
occupancy,1,0,seasonal_naive_weekly,4,3850,3.72351,1.0244
occupancy,1,0,seasonal_naive_weekly,5,3850,4.15455,1.13514
occupancy,1,0,seasonal_naive_weekly,6,3850,4.03714,1.11705
occupancy,1,0,seasonal_naive_weekly,7,3850,3.86519,1.07319
occupancy,1,0,seasonal_naive_weekly,8,3850,3.99649,1.08999
occupancy,1,0,seasonal_naive_weekly,9,3850,3.77481,1.02654
occupancy,1,0,seasonal_naive_weekly,10,3850,4.10584,1.11994
occupancy,1,0,seasonal_naive_weekly,11,3850,4.39675,1.17995
occupancy,1,0,seasonal_naive_weekly,12,3850,4.89143,1.28529
occupancy,1,0,seasonal_naive_weekly,13,3850,3.80831,1.03683
occupancy,1,0,seasonal_naive_weekly,14,3850,3.97974,1.10473
occupancy,1,0,seasonal_naive_weekly,15,3850,3.9126,1.07247
occupancy,1,0,seasonal_naive_weekly,16,3850,4.82416,1.25358
occupancy,1,0,seasonal_naive_weekly,17,3850,3.95325,1.08351
occupancy,1,0,seasonal_naive_weekly,18,3850,4.07377,1.09965
occupancy,1,0,seasonal_naive_weekly,19,3850,4.03779,1.09862
occupancy,1,0,seasonal_naive_weekly,20,3850,3.91727,1.09017
occupancy,1,0,seasonal_naive_weekly,21,3850,3.85649,1.05367
occupancy,1,0,seasonal_naive_weekly,22,3850,3.93026,1.10185
occupancy,1,0,seasonal_naive_weekly,23,3850,3.73636,1.03626
occupancy,1,0,autoregressive,0,3850,2.43276,0.578456
occupancy,1,0,autoregressive,1,3850,1.98697,0.469811
occupancy,1,0,autoregressive,2,3850,1.1881,0.305526
occupancy,1,0,autoregressive,3,3850,1.09531,0.275099
occupancy,1,0,autoregressive,4,3850,1.11055,0.271379
occupancy,1,0,autoregressive,5,3850,1.18017,0.282716
occupancy,1,0,autoregressive,6,3850,1.40581,0.318253
occupancy,1,0,autoregressive,7,3850,1.62811,0.376476
occupancy,1,0,autoregressive,8,3850,2.9191,0.684961
occupancy,1,0,autoregressive,9,3850,2.72111,0.710785
occupancy,1,0,autoregressive,10,3850,2.06139,0.549271
occupancy,1,0,autoregressive,11,3850,1.75486,0.447527
occupancy,1,0,autoregressive,12,3850,1.69331,0.450461
occupancy,1,0,autoregressive,13,3850,1.83284,0.467104
occupancy,1,0,autoregressive,14,3850,1.64997,0.433301
occupancy,1,0,autoregressive,15,3850,1.61823,0.419038
occupancy,1,0,autoregressive,16,3850,1.69298,0.434527
occupancy,1,0,autoregressive,17,3850,1.68085,0.441193
occupancy,1,0,autoregressive,18,3850,1.87104,0.496684
occupancy,1,0,autoregressive,19,3850,2.16849,0.56474
occupancy,1,0,autoregressive,20,3850,1.97199,0.517022
occupancy,1,0,autoregressive,21,3850,1.78484,0.474991
occupancy,1,0,autoregressive,22,3850,1.58717,0.432619
occupancy,1,0,autoregressive,23,3850,1.60704,0.420381
occupancy,1,0,zone_ridge,0,3850,2.57157,0.610249
occupancy,1,0,zone_ridge,1,3850,1.95214,0.476283
occupancy,1,0,zone_ridge,2,3850,1.30575,0.337094
occupancy,1,0,zone_ridge,3,3850,1.25862,0.314591
occupancy,1,0,zone_ridge,4,3850,1.20515,0.300865
occupancy,1,0,zone_ridge,5,3850,1.32983,0.322005
occupancy,1,0,zone_ridge,6,3850,1.41637,0.339109
occupancy,1,0,zone_ridge,7,3850,1.52747,0.373691
occupancy,1,0,zone_ridge,8,3850,2.84698,0.660648
occupancy,1,0,zone_ridge,9,3850,2.62082,0.68055
occupancy,1,0,zone_ridge,10,3850,2.098,0.556487
occupancy,1,0,zone_ridge,11,3850,1.81603,0.474174
occupancy,1,0,zone_ridge,12,3850,1.76228,0.469676
occupancy,1,0,zone_ridge,13,3850,1.84581,0.478637
occupancy,1,0,zone_ridge,14,3850,1.73438,0.453266
occupancy,1,0,zone_ridge,15,3850,1.77335,0.451736
occupancy,1,0,zone_ridge,16,3850,1.88103,0.474907
occupancy,1,0,zone_ridge,17,3850,1.83593,0.478285
occupancy,1,0,zone_ridge,18,3850,1.916,0.505937
occupancy,1,0,zone_ridge,19,3850,2.15236,0.562243
occupancy,1,0,zone_ridge,20,3850,2.05268,0.536032
occupancy,1,0,zone_ridge,21,3850,1.86491,0.494249
occupancy,1,0,zone_ridge,22,3850,1.67837,0.456546
occupancy,1,0,zone_ridge,23,3850,1.69967,0.441834
occupancy,1,0,zone_gbm,0,3850,2.68081,0.660052
occupancy,1,0,zone_gbm,1,3850,1.72333,0.469593
occupancy,1,0,zone_gbm,2,3850,1.47129,0.403945
occupancy,1,0,zone_gbm,3,3850,1.44305,0.387157
occupancy,1,0,zone_gbm,4,3850,1.39992,0.376283
occupancy,1,0,zone_gbm,5,3850,1.46531,0.385243
occupancy,1,0,zone_gbm,6,3850,1.44185,0.381492
occupancy,1,0,zone_gbm,7,3850,1.66193,0.426017
occupancy,1,0,zone_gbm,8,3850,2.4604,0.622729
occupancy,1,0,zone_gbm,9,3850,2.31295,0.63801
occupancy,1,0,zone_gbm,10,3850,2.07017,0.574251
occupancy,1,0,zone_gbm,11,3850,1.94162,0.530132
occupancy,1,0,zone_gbm,12,3850,1.91909,0.528307
occupancy,1,0,zone_gbm,13,3850,1.99022,0.537429
occupancy,1,0,zone_gbm,14,3850,1.90619,0.523051
occupancy,1,0,zone_gbm,15,3850,1.88768,0.505119
occupancy,1,0,zone_gbm,16,3850,1.97886,0.530002
occupancy,1,0,zone_gbm,17,3850,1.89041,0.519698
occupancy,1,0,zone_gbm,18,3850,1.99701,0.545107
occupancy,1,0,zone_gbm,19,3850,2.14936,0.593577
occupancy,1,0,zone_gbm,20,3850,2.00662,0.559015
occupancy,1,0,zone_gbm,21,3850,1.9438,0.541708
