n,mae,rmse,bias,mape,mape_coverage,mase,mase_coverage,sat_wmae,cell_key,target,horizon,fold,family,n_fits,chosen,n_train_hours
92400,1.86718,5.00777,1.08225e-05,13.8636,0.983452,0.426048,1,2.1288,31b0f5c31c374aa1,occupancy,1,0,last_observation,0,,1656
92400,3.54498,6.44286,-0.0323593,33.0718,0.983452,0.970461,1,3.8342,1fefc1f1cc0aabc4,occupancy,1,0,seasonal_naive_daily,0,,1656
92400,4.08423,7.807,-0.692451,36.6606,0.983452,1.11335,1,4.48433,7f2abe9d88a66981,occupancy,1,0,seasonal_naive_weekly,0,,1656
92400,1.77679,3.86526,-0.014831,15.5539,0.983452,0.45093,1,2.0065,b418806d05076850,occupancy,1,0,autoregressive,275,order=24,1656
92400,1.8394,3.82481,0.0373868,16.2755,0.983452,0.468712,1,2.07167,79271322025681b1,occupancy,1,0,zone_ridge,1650,median_alpha=100.0,1656
92400,1.88762,3.82584,-0.0717832,17.5511,0.983452,0.510186,1,2.12522,32c7b262d55d7979,occupancy,1,0,zone_gbm,275,max_iter=60;learning_rate=0.1;max_depth=4;min_samples_leaf=20,1656
92400,1.95484,4.19181,-0.0419478,17.9992,0.983452,0.511313,1,2.19516,90ebeac0ca865047,occupancy,1,0,global_ridge,6,alpha=10.0,1656
92400,1.74917,3.78702,0.0828751,14.935,0.983452,0.442585,1,1.97943,551d62c30e7b584f,occupancy,1,0,global_gbm,1,max_iter=200;learning_rate=0.05;max_leaf_nodes=63,1656
92400,1.72575,4.34978,-0.00187229,13.1864,0.981634,0.400696,1,1.91082,b8776f094855cb31,occupancy,1,1,last_observation,0,,1992
92400,3.42666,5.91528,-0.0237338,32.2072,0.981634,0.946386,1,3.64112,e5da11f04aeff0d0,occupancy,1,1,seasonal_naive_daily,0,,1992
92400,3.54009,6.07405,0.0531926,34.0487,0.981634,1.00549,1,3.80539,ca71363983985dfb,occupancy,1,1,seasonal_naive_weekly,0,,1992
92400,1.63689,3.25244,0.00775711,14.7164,0.981634,0.422159,1,1.79429,941134af923d9d32,occupancy,1,1,autoregressive,275,order=24,1992
92400,1.6831,3.25859,0.00878371,15.2743,0.981634,0.43667,1,1.84495,e6de13655da50c09,occupancy,1,1,zone_ridge,1650,median_alpha=10.0,1992
92400,1.71119,3.34029,0.0403242,15.7312,0.981634,0.457267,1,1.90192,3c689edcafa587ce,occupancy,1,1,zone_gbm,275,max_iter=60;learning_rate=0.1;max_depth=4;min_samples_leaf=20,1992
92400,1.80521,3.56589,-0.0284949,17.4221,0.981634,0.490276,1,1.96789,c949310ad4f89e23,occupancy,1,1,global_ridge,6,alpha=1000.0,1992
92400,1.73563,3.42106,-0.0652976,15.3091,0.981634,0.450009,1,1.91814,d830a638f7e35546,occupancy,1,1,global_gbm,1,max_iter=100;learning_rate=0.1;max_leaf_nodes=31,1992
92400,1.93916,5.90656,0.00638528,13.5541,0.984145,0.440188,1,2.20504,7c9c9b40e05be944,occupancy,1,2,last_observation,0,,2328
92400,3.68488,7.35033,0.00938853,32.0221,0.984145,0.995388,1,4.026,c1ae973aa425a79b,occupancy,1,2,seasonal_naive_daily,0,,2328
92400,4.01225,7.72505,-0.227662,35.0202,0.984145,1.12649,1,4.41204,62cdda8e09a22d36,occupancy,1,2,seasonal_naive_weekly,0,,2328
92400,1.90274,4.92396,-0.0443271,15.1255,0.984145,0.477748,1,2.18178,7cae3e9ee5a38660,occupancy,1,2,autoregressive,275,order=24,2328
92400,1.894,4.77716,-0.130954,15.1137,0.984145,0.476571,1,2.16429,98e03c588f41276e,occupancy,1,2,zone_ridge,1650,median_alpha=10.0,2328
92400,1.83924,4.55094,-0.184813,14.8856,0.984145,0.499909,1,2.1536,c7bf32cab2ffc4b0,occupancy,1,2,zone_gbm,275,max_iter=60;learning_rate=0.1;max_depth=4;min_samples_leaf=20,2328
92400,2.04578,4.94378,-0.0896313,17.8278,0.984145,0.539909,1,2.31234,27a64a563d3ee029,occupancy,1,2,global_ridge,6,alpha=1000.0,2328
92400,1.73968,4.45532,-0.0665342,14.2329,0.984145,0.445339,1,2.00311,701dab68316ca0c5,occupancy,1,2,global_gbm,1,max_iter=100;learning_rate=0.1;max_leaf_nodes=31,2328
92400,1.33885,3.7086,-0.00686147,10.4312,0.9725,0.30951,1,1.52782,d68e4f2865a4c409,occupancy,1,3,last_observation,0,,2664
92400,2.83362,4.98082,-0.0265963,28.2185,0.9725,0.786294,1,3.05571,1247713737d5bf85,occupancy,1,3,seasonal_naive_daily,0,,2664
92400,3.98265,6.71058,0.295758,38.5037,0.9725,1.0717,1,4.28338,c50e145e14c4fbe3,occupancy,1,3,seasonal_naive_weekly,0,,2664
92400,1.39918,2.97738,0.0502202,12.65,0.9725,0.349743,1,1.57168,24213faea873d546,occupancy,1,3,autoregressive,275,order=24,2664
92400,1.5127,3.05472,0.102025,13.6562,0.9725,0.376095,1,1.68702,1d8912e53688382a,occupancy,1,3,zone_ridge,1650,median_alpha=10.0,2664
92400,1.55356,3.31957,0.177691,13.9002,0.9725,0.386429,1,1.73057,bc93731a85aaf3da,occupancy,1,3,zone_gbm,275,max_iter=60;learning_rate=0.1;max_depth=4;min_samples_leaf=20,2664
92400,1.57914,3.15059,0.0428791,16.4312,0.9725,0.436739,1,1.74481,3df3ac8bbce7d547,occupancy,1,3,global_ridge,6,alpha=1000.0,2664
92400,1.35015,2.95471,0.0251394,12.0434,0.9725,0.343156,1,1.52311,ee837c5c0ae7a543,occupancy,1,3,global_gbm,1,max_iter=100;learning_rate=0.1;max_leaf_nodes=31,2664
92400,1.63535,3.99008,0.00865801,12.8137,0.979665,0.391522,1,1.81065,e4b516b21a8040e9,occupancy,1,4,last_observation,0,,3000
92400,3.18781,5.40025,0.134881,31.3316,0.979665,0.910853,1,3.37538,f06dc67d7c5c6737,occupancy,1,4,seasonal_naive_daily,0,,3000
92400,3.84107,6.29388,0.194232,37.2823,0.979665,1.08022,1,4.07808,26b9f4ea5eac6718,occupancy,1,4,seasonal_naive_weekly,0,,3000
92400,1.53709,2.99979,0.0614923,14.3658,0.979665,0.406645,1,1.68796,d726bba568d05b60,occupancy,1,4,autoregressive,275,order=24,3000
