target,horizon,fold,family,zone_id,n,mae,mase,sat_wmae,bias
occupancy,1,0,last_observation,102,336,0.77381,0.329986,0.812848,-0.00595238
occupancy,1,0,last_observation,104,336,0.190476,0.227901,0.193549,0
occupancy,1,0,last_observation,105,336,0.869048,0.288094,0.86026,-0.0178571
occupancy,1,0,last_observation,106,336,3.95238,0.656451,4.20829,-0.00595238
occupancy,1,0,last_observation,107,336,0.889881,0.269341,0.884241,0.00297619
occupancy,1,0,last_observation,108,336,1.21429,0.426634,1.20921,0
occupancy,1,0,last_observation,109,336,0.616071,0.27366,0.614645,-0.00892857
occupancy,1,0,last_observation,110,336,0.604167,0.280034,0.604116,-0.014881
occupancy,1,0,last_observation,111,336,0.842262,0.331382,0.832408,-0.00297619
occupancy,1,0,last_observation,115,336,0.300595,0.307954,0.308195,0.014881
occupancy,1,0,last_observation,123,336,0.577381,0.353977,0.592364,0.00595238
occupancy,1,0,last_observation,124,336,0.78869,0.287245,0.7733,-0.014881
occupancy,1,0,last_observation,202,336,0.717262,0.305234,0.730787,-0.00297619
occupancy,1,0,last_observation,204,336,0.675595,0.282349,0.695791,0.00297619
occupancy,1,0,last_observation,205,336,0.395833,0.276423,0.395377,-0.00297619
occupancy,1,0,last_observation,206,336,2.45536,0.414047,2.6825,-0.014881
occupancy,1,0,last_observation,208,336,0.568452,0.401087,0.592104,-0.00297619
occupancy,1,0,last_observation,212,336,0.282738,0.273358,0.286727,-0.00297619
occupancy,1,0,last_observation,213,336,1.04167,0.390535,1.04879,0
occupancy,1,0,last_observation,214,336,0.139881,0.280794,0.192194,-0.00297619
occupancy,1,0,last_observation,215,336,0.803571,0.335575,0.901758,-0.00595238
occupancy,1,0,last_observation,216,336,0.764881,0.474273,0.740275,0.00892857
occupancy,1,0,last_observation,217,336,3.9881,0.451608,4.59323,0.00595238
occupancy,1,0,last_observation,223,336,2.58631,0.406477,2.57619,0.00892857
occupancy,1,0,last_observation,224,336,1.3244,0.267901,1.30066,0.014881
occupancy,1,0,last_observation,225,336,0.217262,0.172877,0.220415,0.00297619
occupancy,1,0,last_observation,226,336,1.8631,0.401714,1.97584,0.00595238
occupancy,1,0,last_observation,227,336,1.80952,0.439718,1.83969,-0.0178571
occupancy,1,0,last_observation,235,336,1.05655,0.335399,1.02516,0.0386905
occupancy,1,0,last_observation,307,336,2.29464,0.336768,2.25468,0.00892857
occupancy,1,0,last_observation,309,336,5.0625,0.780244,5.45932,-0.00297619
occupancy,1,0,last_observation,310,336,0.446429,0.335902,0.478131,0.00595238
occupancy,1,0,last_observation,311,336,5.33036,0.992147,6.1044,-0.00892857
occupancy,1,0,last_observation,316,336,0.235119,0.258568,0.23339,0.00297619
occupancy,1,0,last_observation,320,336,0.494048,0.308449,0.510146,0
occupancy,1,0,last_observation,321,336,3.59524,0.799704,4.17709,0
occupancy,1,0,last_observation,322,336,0.738095,0.392752,0.829154,-0.00595238
occupancy,1,0,last_observation,323,336,2.52083,0.510675,3.18191,0.014881
occupancy,1,0,last_observation,324,336,0.71131,0.244185,0.741485,0.00297619
occupancy,1,0,last_observation,325,336,1.18452,0.358787,1.29175,0.00595238
occupancy,1,0,last_observation,326,336,2.0744,0.276497,2.33695,0.0208333
occupancy,1,0,last_observation,328,336,1.90774,0.37448,1.95697,-0.00297619
occupancy,1,0,last_observation,329,336,2.96726,0.311299,2.91926,0.00297619
occupancy,1,0,last_observation,330,336,0.848214,0.315327,0.853444,-0.00297619
occupancy,1,0,last_observation,331,336,1.52381,0.433477,1.49857,-0.0238095
occupancy,1,0,last_observation,332,336,2.28571,0.313548,2.36623,-0.0119048
occupancy,1,0,last_observation,333,336,0.645833,0.304977,0.657594,0.00892857
occupancy,1,0,last_observation,335,336,3.52083,0.374235,3.45726,-0.00297619
occupancy,1,0,last_observation,340,336,1.20536,0.737863,1.21617,-0.0208333
occupancy,1,0,last_observation,343,336,1.20238,0.43308,1.49376,-0.00595238
occupancy,1,0,last_observation,346,336,4.08631,0.764427,4.27569,0.014881
occupancy,1,0,last_observation,347,336,0.46131,0.283455,0.489374,0.00297619
occupancy,1,0,last_observation,348,336,0.300595,0.202131,0.302982,-0.00297619
occupancy,1,0,last_observation,406,336,0.440476,0.341987,0.444112,0
occupancy,1,0,last_observation,408,336,2.06548,0.821159,2.15097,0.0119048
occupancy,1,0,last_observation,501,336,1.52976,0.332787,1.54391,-0.0178571
occupancy,1,0,last_observation,502,336,1.625,0.347758,1.59418,0.0178571
occupancy,1,0,last_observation,506,336,2.86607,0.484507,2.84152,-0.00892857
occupancy,1,0,last_observation,508,336,0.866071,0.281503,0.855636,-0.00297619
occupancy,1,0,last_observation,511,336,0.279762,0.236443,0.287624,0.00595238
occupancy,1,0,last_observation,512,336,1.63393,0.357114,1.61962,-0.0267857
occupancy,1,0,last_observation,513,336,4.77381,0.435462,4.93114,0.0238095
occupancy,1,0,last_observation,516,336,2.16071,0.46011,2.30277,0.0119048
occupancy,1,0,last_observation,519,336,20.7351,1.08266,22.2104,0.0208333
