estimate,budget_points,rule,n_seeds,served_energy_kwh_mean,served_energy_kwh_std,served_energy_kwh_p10,served_energy_kwh_p90,unserved_sessions_mean,unserved_sessions_p90,zones_receiving_points,max_points_to_one_zone
11kw,50,balanced,20,1.52802e+07,19658.5,1.52553e+07,1.53048e+07,3723,3869.6,25,12
11kw,50,by_marginal_energy,20,1.52847e+07,19748.1,1.52597e+07,1.53092e+07,3562.35,3690.3,10,15
11kw,50,by_utilisation,20,1.5269e+07,19567.1,1.52453e+07,1.52939e+07,4553.15,4692.5,50,1
11kw,50,no_investment,20,1.52609e+07,19700.4,1.5237e+07,1.52856e+07,4985.9,5119.4,0,0
11kw,100,balanced,20,1.52914e+07,24805.5,1.52593e+07,1.53249e+07,3282.5,3389.6,50,16
11kw,100,by_marginal_energy,20,1.52982e+07,25049.4,1.5266e+07,1.53328e+07,3000.8,3125.9,14,26
11kw,100,by_utilisation,20,1.52709e+07,24309,1.52398e+07,1.53039e+07,4500.4,4614.4,100,1
11kw,100,no_investment,20,1.5262e+07,24298.3,1.52312e+07,1.52943e+07,4998.2,5134.4,0,0
11kw,200,balanced,20,1.53044e+07,18501.3,1.5283e+07,1.5328e+07,2732.05,2820.7,100,27
11kw,200,by_marginal_energy,20,1.53102e+07,18839.5,1.52873e+07,1.53336e+07,2418.75,2484.8,17,48
11kw,200,by_utilisation,20,1.52766e+07,18389.2,1.52567e+07,1.52996e+07,4277.45,4384.4,194,2
11kw,200,no_investment,20,1.52643e+07,18419.4,1.52443e+07,1.5287e+07,4978.6,5081.1,0,0
11kw,400,balanced,20,1.53135e+07,17454.4,1.52939e+07,1.53294e+07,2236.85,2348.2,194,50
11kw,400,by_marginal_energy,20,1.53187e+07,17572.7,1.52989e+07,1.53346e+07,2007.4,2102.9,31,75
11kw,400,by_utilisation,20,1.52885e+07,16939.8,1.52663e+07,1.53025e+07,3644,3775.1,264,4
11kw,400,no_investment,20,1.52656e+07,16574,1.52427e+07,1.52788e+07,4946.5,5108.5,0,0
11kw,800,balanced,20,1.53179e+07,20309.9,1.52869e+07,1.53403e+07,1801.45,1844.4,264,77
11kw,800,by_marginal_energy,20,1.53317e+07,20530.4,1.52997e+07,1.53539e+07,1474.4,1519.6,42,105
11kw,800,by_utilisation,20,1.52973e+07,20272.9,1.52645e+07,1.5319e+07,2887.1,2964.3,275,9
11kw,800,no_investment,20,1.52602e+07,20197,1.52276e+07,1.52808e+07,5017,5089.9,0,0
rated,50,balanced,20,3.64674e+07,63944.1,3.6375e+07,3.65471e+07,3688.4,3805.9,25,17
rated,50,by_marginal_energy,20,3.65126e+07,65516.5,3.6417e+07,3.65932e+07,3648.45,3760.5,6,22
rated,50,by_utilisation,20,3.63074e+07,62667.8,3.62179e+07,3.6378e+07,4498.5,4600.5,50,1
rated,50,no_investment,20,3.62694e+07,61911.7,3.61816e+07,3.63401e+07,4932.1,5031,0,0
rated,100,balanced,20,3.65175e+07,65771.5,3.64164e+07,3.65904e+07,3355.6,3516.9,52,23
rated,100,by_marginal_energy,20,3.65788e+07,68077.9,3.64763e+07,3.66535e+07,3311.1,3438.5,7,28
rated,100,by_utilisation,20,3.63051e+07,61169.3,3.62145e+07,3.63711e+07,4457.2,4633.6,100,1
rated,100,no_investment,20,3.62604e+07,60514.7,3.61709e+07,3.63277e+07,4956.2,5116.8,0,0
rated,200,balanced,20,3.66085e+07,56796.2,3.65407e+07,3.66709e+07,3029.25,3124.2,100,29
rated,200,by_marginal_energy,20,3.66548e+07,56747.1,3.65865e+07,3.6722e+07,2582.75,2655.3,15,49
rated,200,by_utilisation,20,3.63432e+07,56747.4,3.62763e+07,3.64089e+07,4290.75,4415.2,194,2
rated,200,no_investment,20,3.62772e+07,57382.6,3.62102e+07,3.63421e+07,4995.8,5120.1,0,0
rated,400,balanced,20,3.66402e+07,51203.4,3.65716e+07,3.66976e+07,2248.9,2336.3,194,50
rated,400,by_marginal_energy,20,3.66725e+07,51100.6,3.6607e+07,3.67265e+07,1806.35,1885.1,23,71
rated,400,by_utilisation,20,3.63777e+07,53473.5,3.63161e+07,3.64337e+07,3653.3,3803.5,264,4
rated,400,no_investment,20,3.62522e+07,54930.5,3.61901e+07,3.63111e+07,4961.2,5109.6,0,0
rated,800,balanced,20,3.67046e+07,49381,3.66553e+07,3.67516e+07,1555.5,1611.2,264,73
rated,800,by_marginal_energy,20,3.67445e+07,48341.6,3.6692e+07,3.67899e+07,1303.8,1370.6,34,79
rated,800,by_utilisation,20,3.64862e+07,49589.1,3.64431e+07,3.65403e+07,2840.2,2923.9,275,9
rated,800,no_investment,20,3.62762e+07,48225.8,3.62221e+07,3.63298e+07,4946.85,5039.3,0,0
