target,horizon,family,n_folds,n_rows,mae,rmse,mape,mape_coverage,mase,sat_wmae,bias,n_fits
duration,1,autoregressive,8,739200,0.962736,1.83354,15.7666,0.941573,0.303938,1.03036,0.0281155,2200
duration,1,global_gbm,8,739200,0.921499,1.84377,14.6994,0.941573,0.293215,0.985821,0.0924061,8
duration,1,global_ridge,8,739200,1.00639,1.84847,16.6843,0.941573,0.3341,1.07179,-0.0354843,48
duration,1,last_observation,8,739200,1.18341,2.77728,15.0199,0.941573,0.334821,1.28457,0.00062173,0
duration,1,seasonal_naive_daily,8,739200,2.69788,4.52321,42.0471,0.941573,0.892755,2.83032,0.0125448,0
duration,1,seasonal_naive_weekly,8,739200,3.29274,5.46594,54.0245,0.941573,1.0806,3.49411,0.020372,0
duration,1,zone_gbm,8,739200,0.939362,1.72889,16.5732,0.941573,0.302225,1.00072,0.0592259,2200
duration,1,zone_ridge,8,739200,0.980148,1.82934,16.1309,0.941573,0.309353,1.04969,-0.00504064,13200
duration,6,autoregressive,8,739200,2.24011,3.70272,38.8493,0.941573,0.731318,2.35579,0.163904,2200
duration,6,global_gbm,8,739200,2.15579,3.44945,39.1719,0.941573,0.730382,2.28163,0.153954,8
duration,6,global_ridge,8,739200,3.2205,5.39373,53.235,0.941573,1.06086,3.44387,-0.0947657,48
duration,6,last_observation,8,739200,4.46965,8.96161,53.3849,0.941573,1.18707,4.86486,0.00361652,0
duration,6,seasonal_naive_daily,8,739200,2.69788,4.52321,42.0471,0.941573,0.892755,2.83032,0.0125448,0
duration,6,seasonal_naive_weekly,8,739200,3.29274,5.46594,54.0245,0.941573,1.0806,3.49411,0.020372,0
duration,6,zone_gbm,8,739200,2.29338,3.70148,41.8188,0.941573,0.761401,2.41803,0.241162,2200
duration,6,zone_ridge,8,739200,2.62398,4.68218,42.3628,0.941573,0.807729,2.80987,0.0154057,13200
duration,24,autoregressive,8,739200,2.58769,4.22302,45.3895,0.941573,0.849127,2.7102,0.22672,2200
duration,24,global_gbm,8,739200,2.31151,3.64619,41.2741,0.941573,0.791524,2.43014,0.195419,8
duration,24,global_ridge,8,739200,2.58524,4.1626,42.1261,0.941573,0.867163,2.73519,-0.182644,48
duration,24,last_observation,8,739200,2.69788,4.52321,42.0471,0.941573,0.892755,2.83032,0.0125448,0
duration,24,seasonal_naive_daily,8,739200,2.69788,4.52321,42.0471,0.941573,0.892755,2.83032,0.0125448,0
duration,24,seasonal_naive_weekly,8,739200,3.29274,5.46594,54.0245,0.941573,1.0806,3.49411,0.020372,0
duration,24,zone_gbm,8,739200,2.66265,4.18072,48.3143,0.941573,0.902465,2.79651,0.0874315,2200
duration,24,zone_ridge,8,739200,2.65234,4.62442,44.34,0.941573,0.859992,2.81031,0.0319971,13200
occupancy,1,autoregressive,8,739200,1.50617,3.20767,13.5395,0.973117,0.391012,1.6633,0.0318817,2200
occupancy,1,global_gbm,8,739200,1.45203,3.06523,13.035,0.973117,0.384178,1.60722,0.0318492,8
occupancy,1,global_ridge,8,739200,1.69064,3.39647,16.6244,0.973117,0.469695,1.8533,-0.0336112,48
occupancy,1,last_observation,8,739200,1.51541,4.01354,11.5215,0.973117,0.357601,1.69131,-0.000418018,0
occupancy,1,seasonal_naive_daily,8,739200,3.12284,5.65797,29.6481,0.973117,0.871358,3.33506,-0.0137297,0
occupancy,1,seasonal_naive_weekly,8,739200,4.14856,7.2284,40.0265,0.973117,1.16862,4.45595,-0.143499,0
occupancy,1,zone_gbm,8,739200,1.60559,3.37999,14.9938,0.973117,0.430096,1.76913,0.0933826,2200
occupancy,1,zone_ridge,8,739200,1.59703,3.30839,14.4064,0.973117,0.413371,1.76073,0.0359753,13200
occupancy,6,autoregressive,8,739200,2.67312,4.66058,25.9735,0.973117,0.730225,2.86835,0.14739,2200
occupancy,6,global_gbm,8,739200,2.72147,4.59485,27.4149,0.973117,0.760286,2.94914,0.0518215,8
occupancy,6,global_ridge,8,739200,3.82518,6.3304,39.9049,0.973117,1.09589,4.14456,-0.187227,48
occupancy,6,last_observation,8,739200,4.7276,9.45239,35.5861,0.973117,1.08255,5.17551,-0.00306006,0
occupancy,6,seasonal_naive_daily,8,739200,3.12284,5.65797,29.6481,0.973117,0.871358,3.33506,-0.0137297,0
occupancy,6,seasonal_naive_weekly,8,739200,4.14856,7.2284,40.0265,0.973117,1.16862,4.45595,-0.143499,0
occupancy,6,zone_gbm,8,739200,2.91674,5.05216,29.1137,0.973117,0.817838,3.14625,0.111921,2200
occupancy,6,zone_ridge,8,739200,3.05908,5.31802,28.2913,0.973117,0.805241,3.32367,-0.0342974,13200
occupancy,24,autoregressive,8,739200,3.10224,5.2419,30.7279,0.973117,0.85995,3.30936,0.219769,2200
occupancy,24,global_gbm,8,739200,2.94153,4.94043,29.8461,0.973117,0.838195,3.16485,0.0628243,8
occupancy,24,global_ridge,8,739200,3.12497,5.18527,30.4165,0.973117,0.903353,3.40494,-0.342387,48
occupancy,24,last_observation,8,739200,3.12284,5.65797,29.6481,0.973117,0.871358,3.33506,-0.0137297,0
occupancy,24,seasonal_naive_daily,8,739200,3.12284,5.65797,29.6481,0.973117,0.871358,3.33506,-0.0137297,0
occupancy,24,seasonal_naive_weekly,8,739200,4.14856,7.2284,40.0265,0.973117,1.16862,4.45595,-0.143499,0
occupancy,24,zone_gbm,8,739200,3.36583,5.79672,34.9737,0.973117,0.971726,3.59927,0.0647576,2200
occupancy,24,zone_ridge,8,739200,3.1999,5.43582,31.1127,0.973117,0.891766,3.44563,-0.0632966,13200
volume,1,autoregressive,8,739200,39.65,175.417,22.5987,0.941573,0.319142,45.7675,1.37027,2200
volume,1,global_gbm,8,739200,35.9248,153.091,22.6269,0.941573,0.370612,41.8136,1.7099,8
volume,1,global_ridge,8,739200,40.7698,157.007,33.7922,0.941573,0.557989,46.7749,-1.39761,48
volume,1,last_observation,8,739200,51.9387,283.349,18.0618,0.941573,0.348707,60.7577,0.0071889,0
volume,1,seasonal_naive_daily,8,739200,60.8319,229.281,50.085,0.941573,0.895631,69.1891,0.210936,0
volume,1,seasonal_naive_weekly,8,739200,81.4666,321.397,71.0824,0.941573,1.08507,93.6467,0.83941,0
volume,1,zone_gbm,8,739200,36.939,160.499,25.9711,0.941573,0.318896,42.7133,3.40096,2200
volume,1,zone_ridge,8,739200,38.1049,161.602,23.6239,0.941573,0.324912,44.1631,0.722949,13200
volume,6,autoregressive,8,739200,58.3424,220.507,51.6719,0.941573,0.738426,66.4872,5.83662,2200
volume,6,global_gbm,8,739200,59.772,213.098,56.5688,0.941573,0.873255,68.3985,3.05604,8
volume,6,global_ridge,8,739200,114.042,372.396,151.644,0.941573,2.80396,129.88,4.63126,48
volume,6,last_observation,8,739200,128.574,560.423,67.1214,0.941573,1.17466,151.795,0.0459501,0
volume,6,seasonal_naive_daily,8,739200,60.8319,229.281,50.085,0.941573,0.895631,69.1891,0.210936,0
volume,6,seasonal_naive_weekly,8,739200,81.4666,321.397,71.0824,0.941573,1.08507,93.6467,0.83941,0
volume,6,zone_gbm,8,739200,64.3416,253.753,60.9485,0.941573,0.777834,73.6067,8.15862,2200
volume,6,zone_ridge,8,739200,74.43,288.947,58.7985,0.941573,0.815607,85.6045,4.26174,13200
volume,24,autoregressive,8,739200,60.2585,217.597,58.3538,0.941573,0.850491,68.2644,6.15317,2200
volume,24,global_gbm,8,739200,58.1245,210.032,63.5539,0.941573,0.932553,66.1457,5.40985,8
volume,24,global_ridge,8,739200,58.8436,209.491,57.4028,0.941573,0.949051,67.1764,-1.1184,48
volume,24,last_observation,8,739200,60.8319,229.281,50.085,0.941573,0.895631,69.1891,0.210936,0
volume,24,seasonal_naive_daily,8,739200,60.8319,229.281,50.085,0.941573,0.895631,69.1891,0.210936,0
volume,24,seasonal_naive_weekly,8,739200,81.4666,321.397,71.0824,0.941573,1.08507,93.6467,0.83941,0
volume,24,zone_gbm,8,739200,62.4162,228.036,67.2828,0.941573,0.908432,70.9622,4.86365,2200
volume,24,zone_ridge,8,739200,62.1821,226.443,58.2139,0.941573,0.862492,70.7813,5.32472,13200
