is_weekend,hour_of_day,mean_occupancy,mean_volume,mean_duration
0,0,20.3172,394.262,16.2695
0,1,21.1786,398.988,16.4363
0,2,20.9251,352.773,16.2011
0,3,20.7342,329.28,15.9652
0,4,20.645,326.225,15.9053
0,5,20.6764,336.308,15.9327
0,6,20.7852,370.591,16.0386
0,7,20.1484,361.136,14.2466
0,8,17.0547,253.163,11.5856
0,9,15.8069,198.959,10.8072
0,10,15.4008,167.785,10.2432
0,11,14.98,161.437,10.0263
0,12,15.2162,243.217,10.5816
0,13,15.734,250.706,10.5312
0,14,14.8862,190.34,9.85269
0,15,14.4128,180.292,9.50156
0,16,14.4805,186.106,9.48954
0,17,14.5041,197.576,9.70856
0,18,14.7651,197.914,10.331
0,19,15.7024,210.91,11.8534
0,20,17.4105,221.184,13.1744
0,21,18.3222,224.578,13.9604
0,22,19.0706,229.325,14.6624
0,23,19.6967,239.309,15.1327
1,0,20.215,392.315,16.539
1,1,21.4096,403.471,16.7282
1,2,21.1554,358.627,16.4505
1,3,20.9999,336.788,16.3173
1,4,20.8814,335.633,16.2871
1,5,20.9588,340.411,16.2856
1,6,21.0058,367.197,16.3333
1,7,20.9442,388.123,15.8772
1,8,19.7338,289.828,14.3467
1,9,18.2131,219.572,13.056
1,10,17.1843,186.332,12.1055
1,11,16.6837,180.218,11.6419
1,12,16.3873,230.508,11.9403
1,13,16.9536,243.18,12.0031
1,14,16.3891,197.404,11.3431
1,15,15.9937,189.884,11.0239
1,16,15.8515,195.669,11.0005
1,17,15.8871,210.251,11.2126
1,18,16.2672,205.956,11.6456
1,19,16.7608,210.292,12.362
1,20,17.5234,215.649,13.0039
1,21,18.0833,212.991,13.516
1,22,18.8543,216.066,14.0762
1,23,19.1979,231.288,14.5605
