zone_id,marginal_energy_kwh_mean,marginal_energy_kwh_std,marginal_energy_kwh_p10,marginal_energy_kwh_p90,baseline_energy_kwh_mean,n_seeds,analytic_marginal_kwh,estimate,mean_utilisation,is_active_zone
102,72.672,50.887,-1.03631,108.958,3.62548e+07,20,162.118,rated,0.473596,True
104,0,0,0,0,3.62548e+07,20,2.77605e-07,rated,0.0629725,False
105,0,0,0,0,3.62548e+07,20,0,rated,0.191119,False
106,0,0,0,0,3.62548e+07,20,1.73464,rated,0.512082,True
107,0,0,0,0,3.62548e+07,20,0,rated,0.195619,False
108,-0.938553,8.08173,-3.48214,0,3.62548e+07,20,14.5664,rated,0.340874,True
109,0,0,0,0,3.62548e+07,20,4.55307e-06,rated,0.21827,False
110,0,0,0,0,3.62548e+07,20,0,rated,0.151922,False
111,0,0,0,0,3.62548e+07,20,0,rated,0.208501,False
115,0,0,0,0,3.62548e+07,20,6.95701e-06,rated,0.0887031,False
123,14.7,16.2515,0,26.95,3.62548e+07,20,0.000754789,rated,0.200576,True
124,0,0,0,0,3.62548e+07,20,2.76619e-12,rated,0.156441,False
202,0,0,0,0,3.62548e+07,20,3.10862e-13,rated,0.127185,False
204,0,0,0,0,3.62548e+07,20,2.4869e-14,rated,0.158616,False
205,0,0,0,0,3.62548e+07,20,1.29319e-12,rated,0.105244,False
206,0,0,0,0,3.62548e+07,20,0,rated,0.175101,False
208,6.30701,10.5231,0,24.5,3.62548e+07,20,24.6803,rated,0.30369,True
212,0,0,0,0,3.62548e+07,20,5.81935e-12,rated,0.0687624,False
213,0,0,0,0,3.62548e+07,20,0,rated,0.172472,False
214,2.10801,6.32404,0,2.10801,3.62548e+07,20,10.0326,rated,0.129169,True
215,0,0,0,0,3.62548e+07,20,3.31077e-07,rated,0.114052,False
216,0,0,0,0,3.62548e+07,20,0.153842,rated,0.277711,False
217,0,0,0,0,3.62548e+07,20,2.29258,rated,0.242624,True
223,0,0,0,0,3.62548e+07,20,0,rated,0.249157,False
224,0,0,0,0,3.62548e+07,20,0,rated,0.187579,False
225,0,0,0,0,3.62548e+07,20,0.00674442,rated,0.105231,False
226,0,0,0,0,3.62548e+07,20,4.17658e-05,rated,0.206142,False
227,0,0,0,0,3.62548e+07,20,2.37761,rated,0.377594,True
235,0,0,0,0,3.62548e+07,20,6.20937,rated,0.353797,True
307,0,0,0,0,3.62548e+07,20,0,rated,0.259,False
309,0,0,0,0,3.62548e+07,20,0,rated,0.207526,False
310,2.90543,10.0366,0,24.5,3.62548e+07,20,18.5554,rated,0.215447,True
311,0,0,0,0,3.62548e+07,20,0.00342051,rated,0.234402,False
316,356.703,92.9246,236.722,473.881,3.62548e+07,20,565.102,rated,0.482447,True
320,0,0,0,0,3.62548e+07,20,0.0135496,rated,0.162468,False
321,1.225,5.33965,0,0,3.62548e+07,20,13.4719,rated,0.219153,True
322,7.41371,13.4943,0,24.5,3.62548e+07,20,13.3222,rated,0.198444,True
323,27.438,19.9659,-1.66893e-07,49,3.62548e+07,20,162.956,rated,0.240253,True
324,0,0,0,0,3.62548e+07,20,2.03239e-08,rated,0.118433,False
325,0,0,0,0,3.62548e+07,20,0.262506,rated,0.185975,False
326,0,0,0,0,3.62548e+07,20,5.62123e-13,rated,0.185558,False
328,0,0,0,0,3.62548e+07,20,0.00112887,rated,0.312115,False
329,0,0,0,0,3.62548e+07,20,0,rated,0.246889,False
330,1.28871,5.33225,0,0.127419,3.62548e+07,20,4.44813,rated,0.304926,True
331,6.125,13.1367,0,24.5,3.62548e+07,20,24.0712,rated,0.481149,True
332,0,0,0,0,3.62548e+07,20,0,rated,0.216326,False
333,5.2331,14.1884,-2.16079,24.5,3.62548e+07,20,20.3117,rated,0.363877,True
335,0,0,0,0,3.62548e+07,20,0,rated,0.307103,False
340,0,0,0,0,3.62548e+07,20,3.28799,rated,0.365176,True
343,-6.65262,52.3933,0,24.5,3.62548e+07,20,50.0397,rated,0.156858,True
346,132.13,14.5068,114.345,140.026,3.62548e+07,20,140.039,rated,0.383891,True
347,0,0,0,0,3.62548e+07,20,0.0027488,rated,0.149632,False
348,0,0,0,0,3.62548e+07,20,1.64222e-10,rated,0.0692666,False
406,0,0,0,0,3.62548e+07,20,2.27539,rated,0.20405,True
408,0,0,0,0,3.62548e+07,20,0,rated,0.139323,False
501,25.9997,22.7293,7.22727,62.0343,3.62548e+07,20,34.8008,rated,0.461546,True
502,0,0,0,0,3.62548e+07,20,9.235e-11,rated,0.226205,False
506,0,0,0,0,3.62548e+07,20,0,rated,0.275195,False
508,0,0,0,0,3.62548e+07,20,0,rated,0.140637,False
