zone_id,capacity_points,mean_service_hours,kw_per_point_hour_rated,kw_per_point_hour_11kw,mean_utilisation,mean_offered_erlangs,mean_carried_erlangs,peak_offered_erlangs
102,30,3.5,6.21792,6.22182,0.473596,14.2908,14.2079,58.1132
104,19,3.5,6.9225,6.92694,0.0629725,1.19648,1.19648,5.00001
105,93,3.5,6.64013,6.64402,0.191119,17.7741,17.7741,33
106,96,3.5,7,7.00243,0.512082,49.1628,49.1599,75.221
107,88,3.5,7.08751,7.09036,0.195619,17.2144,17.2144,27
108,33,3.5,6.52908,6.53307,0.340874,11.286,11.2488,64.1042
109,39,3.5,7,7.00436,0.21827,8.51255,8.51255,18.0001
110,69,3.5,7.5556,7.31394,0.151922,10.4826,10.4826,32
111,85,3.5,5.23973,5.24232,0.208501,17.7226,17.7226,30
115,23,3.5,7,7.00397,0.0887031,2.04017,2.04017,11.0064
123,28,3.5,7,7.00653,0.200576,5.61616,5.61614,17.0691
124,56,3.5,6.82995,6.8341,0.156441,8.7607,8.7607,26
202,57,3.5,7,7.00378,0.127185,7.24954,7.24954,19
204,57,3.5,7,7.0039,0.158616,9.04109,9.04109,21
205,45,3.5,7,7.00372,0.105244,4.73596,4.73596,11
206,127,3.5,6.09189,6.09719,0.175101,22.2378,22.2378,70
208,13,3.5,7,7.00386,0.30369,3.98352,3.94797,24.224
212,27,3.5,7,7.00181,0.0687624,1.85658,1.85658,9.00001
213,74,3.5,6.95188,6.95474,0.172472,12.7629,12.7629,27
214,9,3.5,6.0229,6.03385,0.129169,1.1721,1.16252,16.2942
215,52,3.5,7,7.00346,0.114052,5.93071,5.93071,23
216,24,3.5,7,7.00456,0.277711,6.66713,6.66506,22.6956
217,129,3.5,6.96954,6.97223,0.242624,31.2997,31.2985,117.915
223,187,3.5,5.71309,4.90813,0.249157,46.5923,46.5923,84
224,133,3.5,6.25883,6.26283,0.187579,24.948,24.948,43
225,20,3.5,7,7.00426,0.105231,2.10467,2.10463,11.0536
226,72,2,14.3022,5.64352,0.206142,14.8422,14.8422,46.0042
227,73,3.5,7,7.00314,0.377594,27.5649,27.5643,65.3466
235,43,3.5,7,7.00356,0.353797,15.2178,15.2133,59.0812
307,169,3.5,6.21863,6.22207,0.259,43.7711,43.7711,102
309,136,3.5,5.91439,5.91556,0.207526,28.2235,28.2235,58
310,10,3.5,7,7.00448,0.215447,2.2015,2.15447,18.2726
311,64,3.5,6.56877,6.57069,0.234402,15.0017,15.0017,36.0003
316,4,3.5,7,7.00324,0.482447,2.70608,1.92979,6.50106
320,25,3.5,5.98441,5.98664,0.162468,4.0617,4.06169,12.0046
321,44,3.5,7,7.00604,0.219153,9.69124,9.64273,86.0808
322,24,3.5,7,7.00947,0.198444,4.78826,4.76266,46.1369
323,41,3.5,7,7.00891,0.240253,10.0953,9.85037,80.0861
324,60,3.5,6.56881,6.57307,0.118433,7.10601,7.10601,25
325,49,3.5,7,7.00463,0.185975,9.11298,9.1128,37.4303
326,106,3.5,6.59264,6.59653,0.185558,19.6715,19.6692,100.716
328,75,3.5,6.53773,6.54183,0.312115,23.4169,23.4086,92.8389
329,254,3.5,7.06164,7.06568,0.246889,62.7098,62.7098,107
330,30,3.5,7,7.62046,0.304926,9.14844,9.14779,21.3352
331,36,3.5,7,7.00442,0.481149,17.3852,17.3214,70.0966
332,147,3.5,6.63595,6.63984,0.216326,31.8,31.8,73
333,22,3.5,7,7.00466,0.363877,8.05874,8.00529,42.1472
335,249,3.5,6.87461,6.77052,0.307103,76.4687,76.4687,173
340,23,3.5,3.5,3.5,0.365176,8.41493,8.39906,17.8171
343,28,3.5,7,7.00208,0.156858,4.41334,4.39203,30.9046
346,61,1,140.026,140.176,0.383891,23.502,23.4174,120.06
347,29,3.5,7,7.00262,0.149632,4.33932,4.33932,12.0002
348,33,3.5,7,7.00207,0.0692666,2.2858,2.2858,7
406,14,3.5,5.69014,5.69375,0.20405,2.86034,2.8567,9.3964
408,57,3.5,7,7.00573,0.139323,7.94141,7.94141,26
501,47,3.5,5.90803,6.59631,0.461546,21.7587,21.6927,92.0761
502,100,3.5,9.52169,9.5266,0.226205,22.6205,22.6205,70.0097
506,162,2,12.9563,12.2956,0.275195,44.5816,44.5816,70
508,76,3.5,6.61666,6.62017,0.140637,10.6884,10.6884,30
511,15,3.5,3.99596,3.99661,0.125,1.87626,1.875,10.4908
512,86,3.5,5.81115,5.81357,0.234207,20.1418,20.1418,54.0008
513,171,3.5,7,7.00232,0.354949,60.7907,60.6964,340.023
516,71,3.5,10.219,11.0026,0.333761,23.8957,23.6971,140.052
519,223,1,30.467,25.5058,0.390874,87.1818,87.1648,247.765
520,124,3.5,7,7.01357,0.319776,39.6663,39.6522,122.569
522,86,3.5,7.06649,7.06873,0.490749,42.2717,42.2044,170.044
525,96,3.5,5.5794,5.58203,0.243686,23.3939,23.3939,41
526,262,3.5,6.55969,6.56173,0.392702,103.068,102.888,522.015
527,146,3.5,8.04258,8.04462,0.27454,40.0829,40.0829,92
528,33,3.5,7,7.00391,0.497921,16.4817,16.4314,64.1042
529,48,3.5,7,7.00562,0.269443,12.9332,12.9332,25.0004
552,49,3.5,7,7.0022,0.336744,16.5549,16.5005,96.0733
553,22,3.5,7,7.00301,0.199471,4.39193,4.38835,16.7269
558,28,3.5,7,7.00463,0.371383,10.7952,10.3987,54.1201
559,20,3.5,7,6.99539,0.417576,10.7302,8.35152,38.1592
568,20,3.5,7,6.76416,0.605456,16.207,12.1091,38.1592
570,21,3.5,7,7.00324,0.553769,13.3998,11.6291,40.1529
575,17,1,100.653,11.0586,0.494069,9.9008,8.39917,32.1816
576,72,1,43.0829,8.31112,0.34415,24.8129,24.7788,142.051
577,24,3.5,8.49867,8.51017,0.158926,3.81429,3.81423,13.0264
578,12,2,13.8533,11.0087,0.182378,2.1893,2.18854,6.07436
580,20,3.5,7,7.01329,0.0762661,1.52532,1.52532,6.00002
582,38,1,39.8123,9.48003,0.419699,15.9517,15.9485,39.6491
584,55,3.5,7,7.0041,0.203972,11.2185,11.2185,28.0001
585,12,3.5,7,6.99751,0.142706,1.71295,1.71248,6.07436
587,132,3.5,7.18618,9.0534,0.230368,30.4086,30.4086,93.0023
588,96,3.5,6.8521,6.85435,0.403015,38.7567,38.6895,190.039
589,105,2,16.2769,8.91372,0.201551,21.1629,21.1629,54
592,88,1,149.543,11.0148,0.310024,27.2827,27.2821,67.1509
594,38,3.5,7,6.99973,0.148405,5.63939,5.63939,17.0001
595,137,1,148.602,11.0065,0.377578,52.0404,51.7281,272.028
596,55,2,19.2904,19.5129,0.581215,33.2172,31.9669,108.066
598,12,3.5,7,7.00299,0.264081,3.20569,3.16897,22.2381
601,12,3.5,3.5,3.5002,0.479704,6.62813,5.75645,22.2381
628,6,1,150,10.9999,0.318178,2.26676,1.90907,10.3886
631,34,2,18.7621,7.34112,0.0935773,3.18163,3.18163,11
632,30,3.5,7,7.00134,0.377152,11.3267,11.3146,27.4401
633,135,1,81.223,9.42408,0.523586,70.7665,70.6842,268.028
637,35,1,50.8669,8.45303,0.150253,5.25887,5.25886,19.0059
638,22,3.5,7,7.00605,0.239065,5.27506,5.25944,18.305
643,34,3.5,8.44196,8.43746,0.255393,8.68384,8.68336,26.8134
644,48,3.5,7,7.00402,0.166247,7.97993,7.97986,35.2613
647,20,3.5,7,7.00632,0.391678,9.08674,7.83356,38.1592
651,9,3.5,7,6.99293,0.702322,9.8454,6.3209,16.2942
655,24,3.5,7,7.00525,0.0953854,2.28927,2.28925,11.0029
656,50,3.5,7,7.00526,0.129137,6.45684,6.45684,24
659,18,3.5,7,7.01004,0.140858,2.56229,2.53545,34.1734
681,18,3.5,7,7.00487,0.244705,4.42456,4.4047,34.1734
682,50,1,107.629,10.6971,0.307592,15.445,15.3796,98.072
686,89,3.5,7,7.00693,0.124247,11.058,11.058,30
687,24,3.5,7,7.00833,0.0575842,1.38202,1.38202,6
690,70,1,122.333,10.8088,0.353624,24.862,24.7537,138.053
691,35,3.5,7,7.00475,0.490371,17.5066,17.163,68.099
693,59,3.5,7,7.01512,0.37724,22.3091,22.2571,116.062
698,9,3.5,5.21992,5.22262,0.416104,3.97929,3.74494,16.2942
699,54,3.5,7,7.00667,0.239724,12.9451,12.9451,27
700,99,3.5,6.74356,6.7469,0.275403,27.2648,27.2648,59
701,12,3.5,7,7.0059,0.34045,4.1299,4.08541,22.2381
703,233,3.5,7.22416,7.22845,0.344044,80.1622,80.1622,154
704,141,3.5,6.50762,6.51103,0.36045,50.9205,50.8234,280.027
705,52,3.5,7,7.00268,0.215908,11.2272,11.2272,26.0001
706,30,3.5,4.5749,4.57625,0.325645,9.77183,9.76934,33.5107
708,31,1,145.882,10.3041,0.315771,9.87889,9.7889,60.11
709,56,3.5,6.65612,6.65764,0.256735,14.3772,14.3772,37.0298
710,83,3.5,6.6222,6.62705,0.17088,14.183,14.183,29
711,34,3.5,7,7.0033,0.136676,4.64698,4.64698,12
712,50,2,14.1265,8.80131,0.210292,10.5146,10.5146,31.0131
715,16,1,117.534,10.0942,0.59047,10.6804,9.44751,30.1906
716,135,2,14.5357,7.0882,0.306655,41.521,41.3985,268.028
718,15,3.5,9.27709,8.76203,0.100652,1.50979,1.50978,5.00079
719,6,3.5,7,7.00699,0.517802,4.37423,3.10681,10.3886
724,180,3.5,5.91466,5.9173,0.248339,44.7011,44.7011,90
728,22,2,13.1918,10.5476,0.158866,3.49509,3.49505,11.0135
729,39,1,87.8294,10.1266,0.285484,11.1342,11.1339,28.3031
731,60,3.5,6.64259,6.6471,0.175466,10.528,10.528,31
732,15,3.5,7.00569,7.00374,0.147844,2.21776,2.21766,7.02396
733,130,3.5,7,7.00648,0.404477,52.7002,52.582,258.029
737,36,3.5,7,7.00825,0.127193,4.57896,4.57896,15
741,38,3.5,8.39697,7.74028,0.210526,8,8,19.0008
744,71,3.5,6.7136,6.71744,0.400338,28.4256,28.424,71.9422
745,16,3.5,7,7.00564,0.36313,5.89376,5.81008,30.1906
746,115,3.5,7,7.00398,0.354946,40.9489,40.8188,228.033
751,72,3.5,7,7.00101,0.252275,18.1663,18.1638,62.7194
