zone_id,obs_date,day_of_week,is_weekend,is_holiday,n_hours,volume_kwh,volume_11kw_kwh,point_hours,mean_occupancy,peak_occupancy,mean_utilisation,peak_utilisation,hours_at_ceiling,mean_total_price
102,2022-09-01,3,0,0,24,1485.46,1485.46,232.333,17.0417,22,0.568056,0.733333,0,1.79177
102,2022-09-02,4,0,0,24,1674.75,1674.75,261.083,19.4167,22,0.647222,0.733333,0,1.78813
102,2022-09-03,5,1,0,24,1562.17,1562.17,235.25,17.8333,19,0.594444,0.633333,0,1.78813
102,2022-09-04,6,1,0,24,1428,1428,216,17.9167,18,0.597222,0.6,0,1.78813
102,2022-09-05,0,0,0,24,1520.17,1520.17,229.167,17.5417,19,0.584722,0.633333,0,1.78813
102,2022-09-06,1,0,0,24,1595.12,1595.12,239.917,17.8333,19,0.594444,0.633333,0,1.78813
102,2022-09-07,2,0,0,24,1596,1596,240,19,19,0.633333,0.633333,0,1.78813
102,2022-09-08,3,0,0,24,1596,1596,240,17.6667,19,0.588889,0.633333,0,1.78813
102,2022-09-09,4,0,0,24,1546.42,1546.42,240.917,17.7083,19,0.590278,0.633333,0,1.78813
102,2022-09-10,5,1,1,24,1139.54,1139.54,192.667,16.1667,19,0.538889,0.633333,0,1.78813
102,2022-09-11,6,1,1,24,1016.75,1016.75,169.25,15.5,18,0.516667,0.6,0,1.78813
102,2022-09-12,0,0,1,24,1540.58,1540.58,237.75,17.5,21,0.583333,0.7,0,1.78813
102,2022-09-13,1,0,0,24,1756.42,1756.42,275.833,19.0833,22,0.636111,0.733333,0,1.78813
102,2022-09-14,2,0,0,24,1512,1512,240,19,19,0.633333,0.633333,0,1.78813
102,2022-09-15,3,0,0,24,1850.92,1850.92,295,19.9167,24,0.663889,0.8,0,1.78813
102,2022-09-16,4,0,0,24,1797.54,1797.54,283.417,19.25,22,0.641667,0.733333,0,1.78813
102,2022-09-17,5,1,0,24,1731.63,1731.63,274.333,18.875,25,0.629167,0.833333,0,1.78813
102,2022-09-18,6,1,0,24,1538.54,1538.54,243.333,17.6667,21,0.588889,0.7,0,1.78813
102,2022-09-19,0,0,0,24,1568,1568,253,18.3333,23,0.611111,0.766667,0,1.78813
102,2022-09-20,1,0,0,24,2026.5,2026.5,316.5,21.25,30,0.708333,1,1,1.78354
102,2022-09-21,2,0,0,24,1774.79,1774.79,275.167,19.5417,22,0.651389,0.733333,0,1.78813
102,2022-09-22,3,0,0,24,1846.25,1846.25,286.25,19.75,22,0.658333,0.733333,0,1.79177
102,2022-09-23,4,0,0,24,1754.96,1754.96,280.833,20.5833,24,0.686111,0.8,0,1.78448
102,2022-09-24,5,1,0,24,1409.33,1409.33,235.167,17.9583,30,0.598611,1,1,1.79177
102,2022-09-25,6,1,0,24,1757.29,1757.29,279.917,19.625,23,0.654167,0.766667,0,1.78448
102,2022-09-26,0,0,0,24,1505,1505,241.167,17.7917,21,0.593056,0.7,0,1.78448
102,2022-09-27,1,0,0,24,1381.04,1381.04,221.083,18.2083,19,0.606944,0.633333,0,1.78813
102,2022-09-28,2,0,0,24,1412.83,1412.83,225.5,17.4583,20,0.581944,0.666667,0,1.78906
102,2022-09-29,3,0,0,24,1329.71,1329.71,213.5,17.625,20,0.5875,0.666667,0,1.78813
102,2022-09-30,4,0,0,24,1800.75,1800.75,280.833,20.875,22,0.695833,0.733333,0,1.78813
102,2022-10-01,5,1,1,24,1848,1848,288,21,21,0.7,0.7,0,1.78354
102,2022-10-02,6,1,1,24,1357.13,1364.56,213.083,17.7083,21,0.590278,0.7,0,1.78813
102,2022-10-03,0,0,1,24,930.417,930.417,150.5,13.9583,17,0.465278,0.566667,0,1.78448
102,2022-10-04,1,0,1,24,1019.67,1019.67,170.833,14.7083,18,0.490278,0.6,0,1.78813
102,2022-10-05,2,0,1,24,1379.58,1379.58,226.083,17.375,20,0.579167,0.666667,0,1.78813
102,2022-10-06,3,0,1,24,1103.37,1103.37,177.75,15.25,17,0.508333,0.566667,0,1.79271
102,2022-10-07,4,0,1,24,1512,1512,232,18.5417,21,0.618056,0.7,0,1.78813
102,2022-10-08,5,1,0,24,1792.29,1792.29,275.833,20,23,0.666667,0.766667,0,1.79177
102,2022-10-09,6,1,0,24,1789.67,1789.67,267.667,19.125,21,0.6375,0.7,0,1.78354
102,2022-10-10,0,0,0,24,1694.88,1694.88,254.25,19.6667,21,0.655556,0.7,0,1.79271
102,2022-10-11,1,0,0,24,1474.67,1474.67,230,18.5833,21,0.619444,0.7,0,1.78813
102,2022-10-12,2,0,0,24,1537.96,1537.96,243.417,19.2083,21,0.640278,0.7,0,1.78813
102,2022-10-13,3,0,0,24,1311.33,1311.33,199.583,17.25,21,0.575,0.7,0,1.78813
102,2022-10-14,4,0,0,24,1652.87,1652.87,248.917,19.25,22,0.641667,0.733333,0,1.78813
102,2022-10-15,5,1,0,24,1465.92,1465.92,236.333,18.75,21,0.625,0.7,0,1.78813
102,2022-10-16,6,1,0,24,1482.25,1482.25,245.667,19.2083,21,0.640278,0.7,0,1.78813
102,2022-10-17,0,0,0,24,1501.21,1501.21,245.583,19.25,21,0.641667,0.7,0,1.78813
102,2022-10-18,1,0,0,24,1454.25,1454.25,233.833,18.75,21,0.625,0.7,0,1.79177
102,2022-10-19,2,0,0,24,1386.88,1386.88,218,18.2083,21,0.606944,0.7,0,1.78813
102,2022-10-20,3,0,0,24,1285.08,1285.08,198.917,17.3333,19,0.577778,0.633333,0,1.78813
102,2022-10-21,4,0,0,24,1595.71,1595.71,249.417,14.875,22,0.495833,0.733333,0,1.78354
102,2022-10-22,5,1,0,24,1498,1498,238.333,16.4583,22,0.548611,0.733333,0,1.78813
102,2022-10-23,6,1,0,24,1474.08,1474.08,232.833,14.7083,20,0.490278,0.666667,0,1.78354
102,2022-10-24,0,0,0,24,1187.37,1246.35,194,18.125,21,0.604167,0.7,0,1.78813
102,2022-10-25,1,0,0,24,1441.71,1441.71,241.75,19.2083,22,0.640278,0.733333,0,1.78813
102,2022-10-26,2,0,0,24,216.125,216.125,38,17,17,0.566667,0.566667,0,1.78813
102,2022-10-27,3,0,0,24,468.708,507.804,70.9167,15.0417,24,0.501389,0.8,0,1.78448
102,2022-10-28,4,0,0,24,1271.08,1271.08,203.917,17.5,19,0.583333,0.633333,0,1.79177
102,2022-10-29,5,1,0,24,982.917,982.917,164.333,15.8333,17,0.527778,0.566667,0,1.78813
102,2022-10-30,6,1,0,24,1128.75,1128.75,183.083,16.625,18,0.554167,0.6,0,1.79177
102,2022-10-31,0,0,0,24,999.25,999.25,162.417,15.8333,18,0.527778,0.6,0,1.78354
102,2022-11-01,1,0,0,24,872.958,872.958,148.333,9.16667,12,0.305556,0.4,0,1.78354
102,2022-11-02,2,0,0,24,907.667,907.667,161.167,9.75,12,0.325,0.4,0,1.78813
102,2022-11-03,3,0,0,24,1404.08,1410.21,221.333,15.0833,24,0.502778,0.8,0,1.78813
102,2022-11-04,4,0,0,24,1528.92,1528.92,238.75,16.0417,24,0.534722,0.8,0,1.78813
102,2022-11-05,5,1,0,24,1365.29,1365.29,226.083,12.375,14,0.4125,0.466667,0,1.78813
102,2022-11-06,6,1,0,24,1479.92,1479.92,245.75,13.25,15,0.441667,0.5,0,1.78354
102,2022-11-07,0,0,0,24,1300.25,1300.25,202.917,11.5833,13,0.386111,0.433333,0,1.78813
102,2022-11-08,1,0,0,24,909.708,909.708,150,9.25,11,0.308333,0.366667,0,1.78813
102,2022-11-09,2,0,0,24,1114.46,1114.46,190.75,10.9583,13,0.365278,0.433333,0,1.78177
102,2022-11-10,3,0,0,24,1401.75,1401.75,230.667,12.6667,14,0.422222,0.466667,0,1.79177
102,2022-11-11,4,0,0,24,1330.88,1330.88,212.583,11.9583,14,0.398611,0.466667,0,1.78813
102,2022-11-12,5,1,0,24,1867.83,1867.83,297.083,15.375,18,0.5125,0.6,0,1.78813
102,2022-11-13,6,1,0,24,1698.96,1698.96,275.25,14.5833,16,0.486111,0.533333,0,1.78813
102,2022-11-14,0,0,0,24,1412.83,1412.83,223.583,12.375,15,0.4125,0.5,0,1.78813
102,2022-11-15,1,0,0,24,1143.04,1143.04,175.083,10.1667,15,0.338889,0.5,0,1.78813
102,2022-11-16,2,0,0,24,1314.83,1314.83,205.667,11.6667,15,0.388889,0.5,0,1.78813
102,2022-11-17,3,0,0,24,1235.5,1235.5,200,12.2083,30,0.406944,1,1,1.78354
102,2022-11-18,4,0,0,24,1461.54,1461.54,231.333,12.7917,17,0.426389,0.566667,0,1.78813
102,2022-11-19,5,1,0,24,1594.83,1594.83,252.583,13.375,17,0.445833,0.566667,0,1.78813
102,2022-11-20,6,1,0,24,1355.67,1355.67,217.667,12.2083,15,0.406944,0.5,0,1.78813
102,2022-11-21,0,0,0,24,1320.67,1320.67,212.5,11.875,15,0.395833,0.5,0,1.78813
102,2022-11-22,1,0,0,24,1290.33,1290.33,207.917,11.7083,14,0.390278,0.466667,0,1.78813
102,2022-11-23,2,0,0,24,1351.58,1351.58,216.25,12.0833,15,0.402778,0.5,0,1.78813
102,2022-11-24,3,0,0,24,1687.58,1687.58,263.917,14,17,0.466667,0.566667,0,1.78813
102,2022-11-25,4,0,0,24,1632.75,1632.75,256.917,13.9167,17,0.463889,0.566667,0,1.78813
102,2022-11-26,5,1,0,24,1151.79,1151.79,178.083,10.5833,14,0.352778,0.466667,0,1.78813
102,2022-11-27,6,1,0,24,1530.67,1530.67,228.667,12.5,14,0.416667,0.466667,0,1.78354
102,2022-11-28,0,0,0,24,1577.33,1577.33,245.25,13.1667,17,0.438889,0.566667,0,1.78813
102,2022-11-29,1,0,0,24,1390.08,1390.08,222.333,12.2917,14,0.409722,0.466667,0,1.78813
102,2022-11-30,2,0,0,24,1024.62,1024.62,171.333,10.0833,13,0.336111,0.433333,0,1.78813
102,2022-12-01,3,0,0,24,1207.79,1207.79,186.917,10.7917,13,0.359722,0.433333,0,1.78354
102,2022-12-02,4,0,0,24,1312.79,1312.79,206.167,11.625,16,0.3875,0.533333,0,1.78813
102,2022-12-03,5,1,0,24,1275.17,1275.17,202.75,11.5,13,0.383333,0.433333,0,1.78813
102,2022-12-04,6,1,0,24,1491.29,1491.29,231.167,12.6667,15,0.422222,0.5,0,1.78813
102,2022-12-05,0,0,0,24,1675.92,1675.92,266.667,14.0833,19,0.469444,0.633333,0,1.78813
102,2022-12-06,1,0,0,24,1598.04,1598.04,249.917,13.5833,17,0.452778,0.566667,0,1.79177
102,2022-12-07,2,0,0,24,1711.79,1711.79,259.917,13.75,16,0.458333,0.533333,0,1.79177
102,2022-12-08,3,0,0,24,1502.67,1502.67,240.75,13.2083,16,0.440278,0.533333,0,1.78813
102,2022-12-09,4,0,0,24,1234.04,1234.04,191.333,14.8333,30,0.494444,1,2,1.78813
102,2022-12-10,5,1,0,24,1469.71,1469.71,231.333,14.6667,18,0.488889,0.6,0,1.78813
102,2022-12-11,6,1,0,24,1268.46,1268.46,210.167,13.75,15,0.458333,0.5,0,1.79177
102,2022-12-12,0,0,0,24,1363.25,1363.25,218.5,14.125,16,0.470833,0.533333,0,1.78813
102,2022-12-13,1,0,0,24,1176.29,1176.29,180.833,12.4167,16,0.413889,0.533333,0,1.78813
102,2022-12-14,2,0,0,24,1290.92,1290.92,204.5,13.5417,15,0.451389,0.5,0,1.78813
102,2022-12-15,3,0,0,24,1367.62,1367.62,219.75,14.25,17,0.475,0.566667,0,1.78813
102,2022-12-16,4,0,0,24,1183,1183,181,12.625,14,0.420833,0.466667,0,1.79635
102,2022-12-17,5,1,0,24,609.292,609.292,94.9167,8.95833,12,0.298611,0.4,0,1.78813
102,2022-12-18,6,1,0,24,973.583,973.583,150.083,11.3333,13,0.377778,0.433333,0,1.78813
102,2022-12-19,0,0,0,24,829.208,829.208,129.667,10.5,14,0.35,0.466667,0,1.78354
102,2022-12-20,1,0,0,24,538.125,538.125,95.5,9.04167,11,0.301389,0.366667,0,1.78813
102,2022-12-21,2,0,0,24,571.667,571.667,93.6667,8.875,12,0.295833,0.4,0,1.78813
102,2022-12-22,3,0,0,24,836.5,836.5,131.5,10.5,13,0.35,0.433333,0,1.79271
102,2022-12-23,4,0,0,24,687.167,687.167,110.167,9.58333,12,0.319444,0.4,0,1.78813
102,2022-12-24,5,1,0,24,560,560,92,8.83333,9,0.294444,0.3,0,1.78813
102,2022-12-25,6,1,0,24,550.083,550.083,90.5833,8.75,10,0.291667,0.333333,0,1.78813
102,2022-12-26,0,0,0,24,894.25,894.25,149.917,11.1667,14,0.372222,0.466667,0,1.78813
102,2022-12-27,1,0,0,24,1093.75,1093.75,192.25,12.9583,16,0.431944,0.533333,0,1.79177
102,2022-12-28,2,0,0,24,1144.21,1144.21,196.75,13.25,15,0.441667,0.5,0,1.78813
