zone_id,hour_of_day,is_weekend,n_obs,mean_occupancy,mean_utilisation,mean_volume_kwh,mean_point_hours,max_utilisation
102,0,0,129,14.7287,0.490956,54.4286,8.73579,1
102,1,0,129,14.4574,0.481912,53.9357,8.65956,0.766667
102,2,0,129,14.4264,0.480879,54.103,8.6854,0.766667
102,3,0,129,14.4186,0.48062,53.7842,8.62597,0.766667
102,4,0,129,14.4186,0.48062,53.6961,8.6124,0.766667
102,5,0,129,14.4496,0.481654,53.5287,8.58979,0.766667
102,6,0,129,14.4574,0.481912,54.0804,8.68152,0.766667
102,7,0,129,14.2868,0.476227,52.4186,8.31589,0.7
102,8,0,129,13.8682,0.462274,52.3282,8.40956,0.733333
102,9,0,129,14.5736,0.485788,55.0549,8.7978,0.733333
102,10,0,129,14.6279,0.487597,53.8159,8.60788,1
102,11,0,129,13.938,0.464599,53.7707,8.59044,0.733333
102,12,0,129,13.7984,0.459948,54.4738,8.71124,0.733333
102,13,0,129,13.9535,0.465116,54.1776,8.68346,1
102,14,0,129,13.8605,0.462016,53.0449,8.53359,0.8
102,15,0,129,13.6124,0.453747,51.8353,8.36886,0.8
102,16,0,129,13.6202,0.454005,51.4939,8.32364,0.8
102,17,0,129,13.5426,0.451421,50.75,8.22416,0.8
102,18,0,129,13.7519,0.458398,50.6641,8.25258,0.733333
102,19,0,129,14.1008,0.470026,51.7946,8.42765,0.7
102,20,0,129,14.2326,0.474419,51.876,8.4199,0.7
102,21,0,129,14.2171,0.473902,52.7351,8.5491,0.733333
102,22,0,129,14.4651,0.482171,53.8227,8.69832,0.733333
102,23,0,129,14.5736,0.485788,54.1324,8.73643,0.766667
102,0,1,52,15.0769,0.502564,58.597,9.39744,0.766667
102,1,1,52,15.0769,0.502564,58.238,9.34295,0.766667
102,2,1,52,14.8654,0.495513,58.1987,9.33494,0.766667
102,3,1,52,15,0.5,58.4231,9.35737,0.766667
102,4,1,52,15.0385,0.501282,58.6082,9.38301,0.766667
102,5,1,52,15.0962,0.503205,58.5072,9.36218,0.766667
102,6,1,52,14.9808,0.499359,57.9183,9.2516,0.766667
102,7,1,52,14.8269,0.494231,57.5649,9.17628,0.766667
102,8,1,52,14.6731,0.489103,54.6146,8.72756,0.766667
102,9,1,52,14.3654,0.478846,54.0929,8.64583,0.833333
102,10,1,52,14.4615,0.482051,53.6723,8.60577,0.766667
102,11,1,52,13.8462,0.461538,51.8381,8.32372,0.766667
102,12,1,52,13.2885,0.442949,51.2212,8.24199,0.7
102,13,1,52,13.0192,0.433974,51.109,8.23878,0.7
102,14,1,52,13.3269,0.444231,50.7893,8.20513,0.7
102,15,1,52,13.0577,0.435256,49.7236,8.0641,0.7
102,16,1,52,13.1923,0.439744,48.7869,7.93109,0.7
102,17,1,52,13.2308,0.441026,48.9776,7.93109,0.733333
102,18,1,52,13.7308,0.457692,50.004,8.09776,0.733333
102,19,1,52,13.8654,0.462179,52.0681,8.42788,0.7
102,20,1,52,14.25,0.475,53.4423,8.6234,0.7
102,21,1,52,14.4423,0.48141,54.7436,8.8125,0.733333
102,22,1,52,14.9231,0.497436,55.512,8.90545,1
102,23,1,52,14.8654,0.495513,56.9704,9.09776,0.766667
104,0,0,129,1.25969,0.0662995,8.7613,1.26292,0.210526
104,1,0,129,1.39535,0.0734394,9.04393,1.30362,0.210526
104,2,0,129,1.4031,0.0738474,9.11628,1.31525,0.210526
104,3,0,129,1.4186,0.0746634,8.98514,1.29587,0.210526
104,4,0,129,1.36434,0.0718074,8.71609,1.25775,0.210526
104,5,0,129,1.4031,0.0738474,8.54199,1.23643,0.210526
104,6,0,129,1.34109,0.0705834,8.49451,1.22997,0.157895
104,7,0,129,1.28682,0.0677275,8.40859,1.2177,0.157895
104,8,0,129,1.39535,0.0734394,8.75,1.26034,0.210526
104,9,0,129,1.34109,0.0705834,7.99257,1.15439,0.210526
104,10,0,129,1.17442,0.0618115,7.12435,1.03101,0.210526
104,11,0,129,1.10853,0.0583435,6.44606,0.933463,0.210526
104,12,0,129,1.00775,0.0530396,6.05039,0.875969,0.210526
104,13,0,129,0.984496,0.0518156,6.03908,0.871447,0.210526
104,14,0,129,0.968992,0.0509996,5.92151,0.855297,0.210526
104,15,0,129,0.953488,0.0501836,5.71576,0.823643,0.210526
104,16,0,129,0.976744,0.0514076,6.12274,0.878553,0.263158
104,17,0,129,1.05426,0.0554876,6.49128,0.931525,0.210526
104,18,0,129,1.07752,0.0567115,6.83721,0.98062,0.210526
104,19,0,129,1.09302,0.0575275,6.47093,0.928295,0.157895
104,20,0,129,1.05426,0.0554876,7.20801,1.03811,0.157895
104,21,0,129,1.26357,0.0665035,8.15536,1.17442,0.157895
104,22,0,129,1.31783,0.0693594,8.47416,1.21964,0.157895
104,23,0,129,1.37984,0.0726234,8.29328,1.1938,0.210526
104,0,1,52,1.19231,0.062753,7.85817,1.13462,0.210526
104,1,1,52,1.32692,0.0698381,8.25641,1.19071,0.210526
104,2,1,52,1.34615,0.0708502,8.39103,1.20833,0.210526
104,3,1,52,1.34615,0.0708502,8.4359,1.21474,0.210526
104,4,1,52,1.36538,0.0718623,8.41346,1.21154,0.210526
104,5,1,52,1.26923,0.0668016,8.16106,1.17628,0.210526
104,6,1,52,1.25,0.0657895,7.94792,1.15545,0.210526
104,7,1,52,1.23077,0.0647773,7.52163,1.09455,0.210526
104,8,1,52,1.21154,0.0637652,7.42628,1.08173,0.157895
104,9,1,52,1.19231,0.062753,6.7476,0.983974,0.157895
104,10,1,52,1.03846,0.0546559,6.54567,0.955128,0.105263
104,11,1,52,1.11538,0.0587045,7.10657,1.03526,0.157895
104,12,1,52,1.09615,0.0576923,7,1.00962,0.157895
104,13,1,52,1.09615,0.0576923,6.57372,0.948718,0.210526
104,14,1,52,0.980769,0.0516194,5.86699,0.855769,0.210526
104,15,1,52,0.923077,0.048583,5.7492,0.849359,0.157895
104,16,1,52,0.980769,0.0516194,5.8726,0.871795,0.157895
104,17,1,52,1.07692,0.0566802,6.55689,0.971154,0.157895
104,18,1,52,1.07692,0.0566802,6.15304,0.899038,0.157895
104,19,1,52,0.980769,0.0516194,6.51763,0.940705,0.157895
104,20,1,52,1.13462,0.0597166,7.47115,1.07853,0.210526
104,21,1,52,1.23077,0.0647773,7.76282,1.12019,0.210526
104,22,1,52,1.22115,0.0642713,7.45994,1.07532,0.210526
104,23,1,52,1.26923,0.0668016,7.53846,1.08654,0.210526
105,0,0,129,18.5775,0.199758,70.7913,10.6266,0.301075
105,1,0,129,19.1085,0.205468,72.0236,10.8075,0.301075
105,2,0,129,19.2171,0.206635,72.876,10.9322,0.301075
105,3,0,129,19.4341,0.208969,73.1541,10.9683,0.311828
105,4,0,129,19.3953,0.208552,71.499,10.7358,0.311828
105,5,0,129,18.8372,0.202551,67.2326,10.1247,0.301075
105,6,0,129,18.1008,0.194632,64.7726,9.73514,0.290323
105,7,0,129,17.5426,0.18863,58.2859,8.71576,0.27957
105,8,0,129,16.3101,0.175377,52.1089,7.79587,0.258065
105,9,0,129,16.2713,0.17496,52.7758,7.86628,0.333333
105,10,0,129,16.3953,0.176294,54.1053,8.04716,0.354839
105,11,0,129,16.4496,0.176878,55.0753,8.16731,0.247312
105,12,0,129,16.5116,0.177544,55.2742,8.19509,0.268817
105,13,0,129,16.5388,0.177836,53.7707,7.97739,0.268817
105,14,0,129,15.9922,0.17196,52.0207,7.76486,0.27957
105,15,0,129,15.969,0.17171,52.1088,7.77907,0.268817
105,16,0,129,16.0271,0.172335,51.6386,7.73127,0.258065
105,17,0,129,15.7674,0.169542,51.5165,7.72028,0.247312
105,18,0,129,16.1628,0.173793,53.1331,8.02326,0.236559
105,19,0,129,16.4806,0.177211,57.3475,8.6854,0.258065
105,20,0,129,17.3411,0.186463,60.8905,9.24096,0.258065
105,21,0,129,17.6512,0.189797,64.5963,9.78553,0.290323
105,22,0,129,18.3566,0.197383,68.2093,10.3036,0.290323
105,23,0,129,18.8217,0.202384,69.6586,10.4929,0.301075
105,0,1,52,19.7308,0.212159,75.5473,11.5385,0.311828
