zone_id,window_start,window_end,window_utilisation
1029,13,16,0.888135
882,0,3,0.80323
805,9,12,0.79958
775,2,5,0.771541
651,9,12,0.768088
771,2,5,0.766877
570,22,1,0.756091
715,23,2,0.71439
691,3,6,0.678516
601,2,5,0.655362
851,0,3,0.654711
719,3,6,0.652132
568,11,14,0.648837
844,1,4,0.639535
522,23,2,0.638972
633,23,2,0.630075
809,23,2,0.622578
575,5,8,0.620725
323,10,13,0.609851
596,4,7,0.606906
1026,4,7,0.597654
881,3,6,0.590579
595,4,7,0.586601
832,3,6,0.582311
733,1,4,0.57734
1098,4,7,0.57613
848,9,12,0.568637
708,4,7,0.566016
331,3,6,0.563092
890,21,0,0.562662
943,3,6,0.56017
996,23,2,0.541854
981,1,4,0.539393
986,3,6,0.533116
501,3,6,0.530678
106,11,14,0.53012
316,19,22,0.529554
965,3,6,0.52937
528,10,13,0.529246
588,3,6,0.521035
1049,22,1,0.516715
842,2,5,0.516085
795,23,2,0.51311
858,2,5,0.503679
1172,10,13,0.497201
888,2,5,0.496429
1124,1,4,0.49533
698,23,2,0.490956
974,0,3,0.48938
690,5,8,0.486213
102,22,1,0.485207
559,10,13,0.481686
1071,2,5,0.480082
592,23,2,0.480004
790,21,0,0.476623
1167,0,3,0.4692
227,9,12,0.46805
346,1,4,0.466641
745,23,2,0.460029
693,10,13,0.458054
792,23,2,0.455749
519,1,4,0.454592
526,3,6,0.453777
972,0,3,0.44584
552,3,6,0.443878
1164,1,4,0.440385
513,23,2,0.439684
704,22,1,0.436335
744,22,1,0.43535
773,0,3,0.434448
647,12,15,0.43314
582,7,10,0.432324
516,2,5,0.431761
746,0,3,0.431446
235,2,5,0.429061
802,9,12,0.428194
632,1,4,0.42739
576,4,7,0.426572
682,5,8,0.421357
1075,4,7,0.414123
982,3,6,0.412683
1083,23,2,0.411998
799,0,3,0.410596
217,9,12,0.409178
900,0,3,0.408915
520,10,13,0.406094
328,1,4,0.405349
108,23,2,0.405156
716,1,4,0.403847
703,22,1,0.40293
991,22,1,0.402873
983,23,2,0.401391
558,5,8,0.396318
343,10,13,0.392753
333,23,2,0.390944
1067,22,1,0.390267
628,0,3,0.384044
729,4,7,0.378255
883,0,3,0.374677
895,1,4,0.373256
958,9,12,0.372868
701,3,6,0.370317
340,20,23,0.369186
966,2,5,0.366866
706,3,6,0.365633
208,10,13,0.364192
891,0,3,0.361578
852,2,5,0.356589
1072,10,13,0.353653
855,2,5,0.350931
849,2,5,0.350697
1162,1,4,0.347604
1043,23,2,0.346514
330,9,12,0.346382
887,22,1,0.345661
335,23,2,0.342895
1082,10,13,0.341224
781,10,13,0.340338
967,23,2,0.339551
325,10,13,0.336834
1094,20,23,0.336671
598,21,0,0.33624
527,1,4,0.333466
1166,1,4,0.329765
1149,10,13,0.327802
1085,2,5,0.327651
321,10,13,0.327607
1126,9,12,0.326712
1000,2,5,0.320297
226,10,13,0.319592
969,1,4,0.317519
1137,3,6,0.316816
751,20,23,0.316699
1121,2,5,0.313849
216,3,6,0.311531
1095,2,5,0.30961
