zone_id,capacity_points,n_stations,n_neighbours,n_hours,total_volume_kwh,total_volume_11kw_kwh,total_point_hours,mean_utilisation,peak_utilisation,hours_at_ceiling,share_at_ceiling,hours_above_90pct,kwh_per_point,mean_e_price,mean_s_price,mean_total_price
1029,36,1,6,4344,3.50563e+06,327189,29213.6,0.820877,1,103,0.0237109,1026,97378.6,0.650921,0.506816,1.15774
882,15,1,3,4344,65146.1,102401,9306.58,0.752778,1,584,0.134438,695,4343.07,1.05,0.82,1.87
651,9,1,3,4344,25117.2,25091.8,3588.17,0.702322,1,1977,0.45511,1977,2790.8,1.8,0,1.8
568,20,1,0,4344,29330.3,28342.1,4190.04,0.605456,1,884,0.203499,903,1466.51,1,0.66,1.66
715,16,2,4,4344,2.06547e+06,177388,17573.3,0.59047,1,113,0.0260129,197,129092,1.15752,0.383235,1.54075
596,55,2,5,4344,544995,551281,28252.2,0.581215,1,16,0.00368324,239,9908.99,0.828856,0.586807,1.41566
570,21,2,5,4344,335404,335559,47914.8,0.553769,1,56,0.0128913,456,15971.6,0.8,0.76,1.56
890,18,1,4,4344,6031.37,6032.83,1723.25,0.551335,1,2035,0.468462,2035,335.076,1.1,0.64,1.74
633,135,4,4,4344,1.48999e+07,1.7288e+06,183445,0.523586,1,2,0.000460405,3,110370,0.666416,0.656296,1.32271
719,6,1,1,4344,81933.8,82015.6,11704.8,0.517802,1,246,0.0566298,246,13655.6,0.72,0.76,1.48
775,26,1,6,4344,1.33545e+07,613640,55643.9,0.512245,1,40,0.0092081,254,513636,0.673418,0.499312,1.17273
106,96,6,5,4344,362832,362958,51833.1,0.512082,0.78125,0,0,0,3779.5,1.17,0.633333,1.80333
528,33,4,7,4344,91568.8,91619.8,13081.3,0.497921,1,5,0.00115101,5,2774.81,1.09561,0.73,1.82561
575,17,1,3,4344,3.05437e+06,335581,30345.7,0.494069,1,261,0.0600829,312,179669,0.710048,0.422518,1.13257
522,86,6,5,4344,1.13056e+06,1.13092e+06,159988,0.490749,1,3,0.000690608,4,13146,0.847187,0.686528,1.53371
809,68,3,1,4344,957613,958171,136802,0.490376,1,5,0.00115101,5,14082.5,0.973333,0.76,1.73333
691,35,1,2,4344,458861,459172,65551.6,0.490371,1,6,0.00138122,16,13110.3,0.72,0.76,1.48
316,4,1,8,4344,56021.6,56047.5,8003.08,0.482447,1,323,0.0743554,323,14005.4,0.77,0.76,1.53
331,36,2,4,4344,427863,428133,61123.3,0.481149,1,4,0.00092081,4,11885.1,0.7,0.76,1.46
601,12,1,1,4344,82380.1,82384.9,23537.2,0.479704,1,81,0.0186464,216,6865.01,0.86,0.64,1.5
102,30,4,3,4344,232359,232505,37369.3,0.473596,1,5,0.00115101,5,7745.32,1.02653,0.761879,1.78841
771,24,1,5,4344,276795,276814,44203.3,0.472021,1,11,0.00253223,78,11533.1,0.712118,0.578971,1.29109
851,142,5,2,4344,1.43937e+06,1.44015e+06,253274,0.462046,1,4,0.00092081,4,10136.4,0.766216,0.706393,1.47261
501,47,5,4,4344,525392,586600,88928.5,0.461546,1,5,0.00115101,5,11178.6,0.928,0.76,1.688
881,88,1,5,4344,691167,691506,98738.2,0.457486,1,368,0.0847145,370,7854.17,0.698016,0.738062,1.43608
1124,61,5,5,4344,4.16745e+06,438346,43047.1,0.45702,1,4,0.00092081,4,68318.8,0.954336,0.713664,1.668
832,36,2,3,4344,373839,374098,54521.7,0.44933,1,5,0.00115101,5,10384.4,0.8,0.76,1.56
790,32,4,5,4344,57991.2,58018.6,11115.3,0.445442,1,5,0.00115101,5,1812.23,1.05,0.7,1.75
1098,60,7,6,4344,3.56022e+06,3.57827e+06,52065.8,0.430744,1,4,0.00092081,4,59337,1.04809,0.67048,1.71857
582,38,4,5,4344,440115,104799,11054.8,0.419699,0.894737,0,0,0,11582,1.10146,0.687453,1.78891
943,21,2,0,4344,207463,207736,29637.6,0.418136,1,5,0.00115101,15,9879.19,0.72,0.76,1.48
559,20,1,4,4344,25669,25652.1,3667,0.417576,1,554,0.127532,563,1283.45,1.2,0.47,1.67
792,6,1,6,4344,72125.7,72155.2,10303.7,0.417012,1,40,0.0092081,40,12020.9,1.2,0.76,1.96
698,9,1,2,4344,80036.5,80078,15332.9,0.416104,1,14,0.00322284,14,8892.95,0.8,0.76,1.56
795,102,4,7,4344,1.31394e+06,1.32534e+06,167302,0.415755,1,2,0.000460405,4,12881.8,0.725172,0.750987,1.47616
981,49,3,7,4344,895815,885150,81192.3,0.4125,1,4,0.00092081,4,18281.9,0.917479,0.770501,1.68798
996,119,8,5,4344,1.34978e+06,1.35034e+06,194757,0.406377,1,4,0.00092081,5,11342.7,0.90125,0.76,1.66125
974,123,9,6,4344,1.38592e+06,1.38641e+06,197988,0.405585,1,3,0.000690608,6,11267.6,0.824444,0.76,1.58444
733,130,6,5,4344,1.40157e+06,1.40287e+06,200224,0.404477,1,4,0.00092081,4,10781.3,1.01667,0.76,1.77667
588,96,4,6,4344,1.0259e+06,1.02624e+06,149720,0.403015,1,3,0.000690608,3,10686.5,0.710776,0.766362,1.47714
744,71,6,3,4344,406295,406528,60518.2,0.400338,0.915493,0,0,1,5722.47,0.810854,0.705,1.51585
986,125,3,6,4344,1.53137e+06,1.53157e+06,194316,0.39909,1,5,0.00115101,5,12251,0.905587,0.811833,1.71742
