pelt_date,nearest_binary_seg_date,gap_days,agreed,series
2022-10-25,2022-10-25,0,True,utilisation
2022-11-01,2022-11-01,0,True,utilisation
2022-11-08,2022-11-08,0,True,utilisation
2023-01-18,2023-01-14,4,True,utilisation
2023-02-05,2023-02-05,0,True,utilisation
2022-09-08,2022-09-08,0,True,volume
2022-10-02,2022-10-02,0,True,volume
2022-10-26,2022-10-02,24,False,volume
2022-11-03,2022-10-02,32,False,volume
2022-12-10,2023-01-13,34,False,volume
2022-12-20,2023-01-13,24,False,volume
2023-01-13,2023-01-13,0,True,volume
2023-01-20,2023-01-20,0,True,volume
2023-01-29,2023-01-30,1,True,volume
2023-02-09,2023-02-09,0,True,volume
2022-09-10,2022-09-09,1,True,duration
2022-10-02,2022-10-24,22,False,duration
2022-10-26,2022-10-24,2,True,duration
2022-11-03,2022-11-03,0,True,duration
2022-12-22,2022-12-21,1,True,duration
2023-01-20,2023-01-16,4,True,duration
2023-01-27,2023-01-29,2,True,duration
2023-02-09,2023-01-29,11,False,duration
