series,method,start,end,n_days,mean_level
utilisation,pelt,2022-09-01,2022-10-24,54,0.28584
utilisation,pelt,2022-10-25,2022-10-31,7,0.309989
utilisation,pelt,2022-11-01,2022-11-07,7,0.247651
utilisation,pelt,2022-11-08,2023-01-17,71,0.28376
utilisation,pelt,2023-01-18,2023-02-04,18,0.241145
utilisation,pelt,2023-02-05,2023-02-28,24,0.287423
utilisation,binary_segmentation,2022-09-01,2022-09-08,8,0.270583
utilisation,binary_segmentation,2022-09-09,2022-10-24,46,0.288494
utilisation,binary_segmentation,2022-10-25,2022-10-31,7,0.309989
utilisation,binary_segmentation,2022-11-01,2022-11-07,7,0.247651
utilisation,binary_segmentation,2022-11-08,2023-01-13,67,0.284599
utilisation,binary_segmentation,2023-01-14,2023-02-04,22,0.246338
utilisation,binary_segmentation,2023-02-05,2023-02-28,24,0.287423
volume,pelt,2022-09-01,2022-09-07,7,1.76269e+06
volume,pelt,2022-09-08,2022-10-01,24,1.96936e+06
volume,pelt,2022-10-02,2022-10-25,24,1.78583e+06
volume,pelt,2022-10-26,2022-11-02,8,1.58184e+06
volume,pelt,2022-11-03,2022-12-09,37,1.80812e+06
volume,pelt,2022-12-10,2022-12-19,10,1.96552e+06
volume,pelt,2022-12-20,2023-01-12,24,1.74263e+06
volume,pelt,2023-01-13,2023-01-19,7,1.37715e+06
volume,pelt,2023-01-20,2023-01-28,9,945094
volume,pelt,2023-01-29,2023-02-08,11,1.47413e+06
volume,pelt,2023-02-09,2023-02-28,20,1.68972e+06
volume,binary_segmentation,2022-09-01,2022-09-07,7,1.76269e+06
volume,binary_segmentation,2022-09-08,2022-10-01,24,1.96936e+06
volume,binary_segmentation,2022-10-02,2023-01-12,103,1.78537e+06
volume,binary_segmentation,2023-01-13,2023-01-19,7,1.37715e+06
volume,binary_segmentation,2023-01-20,2023-01-29,10,987451
volume,binary_segmentation,2023-01-30,2023-02-08,10,1.48468e+06
volume,binary_segmentation,2023-02-09,2023-02-28,20,1.68972e+06
duration,pelt,2022-09-01,2022-09-09,9,86752.2
duration,pelt,2022-09-10,2022-10-01,22,97082.8
duration,pelt,2022-10-02,2022-10-25,24,91017.3
duration,pelt,2022-10-26,2022-11-02,8,52747.5
duration,pelt,2022-11-03,2022-12-21,49,93250.9
duration,pelt,2022-12-22,2023-01-19,29,86619.4
duration,pelt,2023-01-20,2023-01-26,7,57480.8
duration,pelt,2023-01-27,2023-02-08,13,75098.5
duration,pelt,2023-02-09,2023-02-28,20,83649.8
duration,binary_segmentation,2022-09-01,2022-09-08,8,86134.8
duration,binary_segmentation,2022-09-09,2022-10-23,45,94197.7
duration,binary_segmentation,2022-10-24,2022-11-02,10,59501.3
duration,binary_segmentation,2022-11-03,2022-12-20,48,93307.9
duration,binary_segmentation,2022-12-21,2023-01-15,26,88047.8
duration,binary_segmentation,2023-01-16,2023-01-28,13,65605.6
duration,binary_segmentation,2023-01-29,2023-02-28,31,81032.4
