series,break_date,window_days,p_value,level_before,level_after,shift,relative_shift
utilisation,2022-10-25,61,0.0519,0.28584,0.309989,0.024149,0.084483
utilisation,2022-11-01,14,,0.309989,0.247651,-0.062338,-0.201097
utilisation,2022-11-08,78,0.024,0.247651,0.28376,0.036109,0.145805
utilisation,2023-01-18,89,0.0359,0.28376,0.241145,-0.042615,-0.150181
utilisation,2023-02-05,42,0.004,0.241145,0.287423,0.046279,0.191913
volume,2022-09-08,31,0.0639,1.76269e+06,1.96936e+06,206678,0.117252
volume,2022-10-02,48,0.0599,1.96936e+06,1.78583e+06,-183533,-0.093194
volume,2022-10-26,32,0.01,1.78583e+06,1.58184e+06,-203989,-0.114227
volume,2022-11-03,45,0.012,1.58184e+06,1.80812e+06,226282,0.14305
volume,2022-12-10,47,0.004,1.80812e+06,1.96552e+06,157396,0.087049
volume,2022-12-20,34,0.0479,1.96552e+06,1.74263e+06,-222892,-0.113401
volume,2023-01-13,31,0.004,1.74263e+06,1.37715e+06,-365478,-0.209728
volume,2023-01-20,16,0.002,1.37715e+06,945094,-432055,-0.313732
volume,2023-01-29,20,0.002,945094,1.47413e+06,529037,0.559772
volume,2023-02-09,31,0.004,1.47413e+06,1.68972e+06,215592,0.14625
duration,2022-09-10,31,0.0818,86752.2,97082.8,10330.7,0.119082
duration,2022-10-02,46,0.004,97082.8,91017.3,-6065.51,-0.062478
duration,2022-10-26,32,0.002,91017.3,52747.5,-38269.8,-0.420467
duration,2022-11-03,57,0.008,52747.5,93250.9,40503.4,0.767874
duration,2022-12-22,78,0.0479,93250.9,86619.4,-6631.57,-0.071115
duration,2023-01-20,36,0.002,86619.4,57480.8,-29138.5,-0.336397
duration,2023-01-27,20,0.002,57480.8,75098.5,17617.7,0.306497
duration,2023-02-09,33,0.002,75098.5,83649.8,8551.25,0.113867
