series,method,break_date,level_before,level_after,shift,relative_shift
utilisation,pelt,2022-10-25,0.28584,0.277868,-0.007973,-0.027892
utilisation,pelt,2022-11-01,0.288611,0.275994,-0.012617,-0.043718
utilisation,pelt,2022-11-08,0.284395,0.27775,-0.006645,-0.023366
utilisation,pelt,2023-01-18,0.28407,0.26759,-0.016481,-0.058017
utilisation,pelt,2023-02-05,0.279149,0.287423,0.008274,0.029641
utilisation,binary_segmentation,2022-09-09,0.270583,0.280693,0.010111,0.037366
utilisation,binary_segmentation,2022-10-25,0.28584,0.277868,-0.007973,-0.027892
utilisation,binary_segmentation,2022-11-01,0.288611,0.275994,-0.012617,-0.043718
utilisation,binary_segmentation,2022-11-08,0.284395,0.27775,-0.006645,-0.023366
utilisation,binary_segmentation,2023-01-14,0.284496,0.267774,-0.016722,-0.058779
utilisation,binary_segmentation,2023-02-05,0.279149,0.287423,0.008274,0.029641
volume,pelt,2022-09-08,1.76269e+06,1.7202e+06,-42490.3,-0.024105
volume,pelt,2022-10-02,1.92269e+06,1.68033e+06,-242366,-0.126055
volume,pelt,2022-10-26,1.86297e+06,1.66023e+06,-202739,-0.108826
volume,pelt,2022-11-03,1.82727e+06,1.66555e+06,-161725,-0.088506
volume,pelt,2022-12-10,1.82019e+06,1.60042e+06,-219767,-0.120739
volume,pelt,2022-12-20,1.8334e+06,1.549e+06,-284401,-0.155122
volume,pelt,2023-01-13,1.81714e+06,1.45012e+06,-367018,-0.201975
volume,pelt,2023-01-20,1.7953e+06,1.46289e+06,-332404,-0.185152
volume,pelt,2023-01-29,1.74429e+06,1.61322e+06,-131063,-0.075138
volume,pelt,2023-02-09,1.72583e+06,1.68972e+06,-36104.4,-0.02092
volume,binary_segmentation,2022-09-08,1.76269e+06,1.7202e+06,-42490.3,-0.024105
volume,binary_segmentation,2022-10-02,1.92269e+06,1.68033e+06,-242366,-0.126055
volume,binary_segmentation,2023-01-13,1.81714e+06,1.45012e+06,-367018,-0.201975
volume,binary_segmentation,2023-01-20,1.7953e+06,1.46289e+06,-332404,-0.185152
volume,binary_segmentation,2023-01-30,1.7418e+06,1.62138e+06,-120423,-0.069137
volume,binary_segmentation,2023-02-09,1.72583e+06,1.68972e+06,-36104.4,-0.02092
duration,pelt,2022-09-10,86752.2,86483.2,-268.935,-0.0031
duration,pelt,2022-10-02,94083.6,84928.6,-9154.98,-0.097307
duration,pelt,2022-10-26,92745.6,83768.9,-8976.71,-0.096789
duration,pelt,2022-11-03,87666.5,85872,-1794.44,-0.020469
duration,pelt,2022-12-22,90109.7,80631.9,-9477.74,-0.10518
duration,pelt,2023-01-20,89391.8,76291.1,-13100.8,-0.146554
duration,pelt,2023-01-27,87882.5,80281.1,-7601.41,-0.086495
duration,pelt,2023-02-09,86850.3,83649.8,-3200.49,-0.036851
duration,binary_segmentation,2022-09-09,86134.8,86513.3,378.565,0.004395
duration,binary_segmentation,2022-10-24,92980.7,83811.8,-9168.84,-0.09861
duration,binary_segmentation,2022-11-03,87666.5,85872,-1794.44,-0.020469
duration,binary_segmentation,2022-12-21,90106,80773.1,-9332.91,-0.103577
duration,binary_segmentation,2023-01-16,89715.4,76474.5,-13241,-0.147588
duration,binary_segmentation,2023-01-29,87625.9,81032.4,-6593.55,-0.075247
