zone_id,volume_rated_kwh,volume_11kw_kwh,point_hours,implied_kw_rated,implied_kw_11,ratio
102,232359,232505,37369.3,6.21792,6.22182,0.999373
104,32512.1,32532.9,4696.58,6.9225,6.92694,0.999359
105,272084,272244,40975.8,6.64013,6.64402,0.999414
106,362832,362958,51833.1,7,7.00243,0.999653
107,313778,313904,44271.9,7.08751,7.09036,0.999597
108,251883,252037,38578.7,6.52908,6.53307,0.999389
109,162142,162243,23163.1,7,7.00436,0.999377
110,145130,140488,19208.2,7.5556,7.31394,1.03304
111,240764,240883,45949.7,5.23973,5.24232,0.999505
115,28324.3,28340.4,4046.33,7,7.00397,0.999433
123,76235.2,76306.3,10890.8,7,7.00653,0.999068
124,208883,209009,30583.3,6.82995,6.8341,0.999393
202,163415,163503,23345,7,7.00378,0.999461
204,179647,179747,25663.8,7,7.0039,0.999443
205,87984.2,88031,12569.2,7,7.00372,0.999468
206,418440,418804,68688.1,6.09189,6.09719,0.999132
208,104553,104611,14936.2,7,7.00386,0.999449
212,46222.2,46234.1,6603.17,7,7.00181,0.999741
213,266491,266601,38333.7,6.95188,6.95474,0.999589
214,15080.3,15107.8,2503.83,6.0229,6.03385,0.998185
215,126377,126440,18053.9,7,7.00346,0.999506
216,169786,169897,24255.2,7,7.00456,0.999349
217,847082,847409,121541,6.96954,6.97223,0.999613
223,943014,810145,165062,5.71309,4.90813,1.16401
224,489124,489437,78149.5,6.25883,6.26283,0.99936
225,55665.2,55699,7952.17,7,7.00426,0.999392
226,735901,290380,51453.8,14.3022,5.64352,2.53427
227,697168,697481,99595.5,7,7.00314,0.999552
235,316002,316162,45143.1,7,7.00356,0.999492
307,1.01465e+06,1.01521e+06,163163,6.21863,6.22207,0.999448
309,231722,231768,39179.4,5.91439,5.91556,0.999803
310,46208.2,46237.7,6601.17,7,7.00448,0.999361
311,249090,249163,37920.3,6.56877,6.57069,0.999708
316,56021.6,56047.5,8003.08,7,7.00324,0.999537
320,56180.1,56201.1,9387.75,5.98441,5.98664,0.999626
321,111978,112074,15996.8,7,7.00604,0.999139
322,120529,120692,17218.4,7,7.00947,0.998648
323,278831,279186,39833,7,7.00891,0.998728
324,143434,143527,21835.7,6.56881,6.57307,0.999352
325,229213,229364,32744.7,7,7.00463,0.999339
326,318688,318876,48340,6.59264,6.59653,0.99941
328,539368,539707,82500.8,6.53773,6.54183,0.999372
329,1.73953e+06,1.74053e+06,246336,7.06164,7.06568,0.999428
330,256168,278874,36595.4,7,7.62046,0.91858
331,427863,428133,61123.2,7,7.00442,0.999369
332,729999,730427,110007,6.63595,6.63984,0.999414
333,149116,149216,21302.3,7,7.00466,0.999335
335,1.74426e+06,1.71785e+06,253724,6.87461,6.77052,1.01537
340,8512.88,8512.88,2432.25,3.5,3.5,1
343,106240,106271,15177.1,7,7.00208,0.999704
346,8.42077e+06,8.4298e+06,60137.1,140.026,140.176,0.998928
347,78593.1,78622.5,11227.6,7,7.00262,0.999626
348,65371.2,65390.5,9338.75,7,7.00207,0.999705
406,61421.8,61460.7,10794.4,5.69014,5.69375,0.999366
408,157571,157700,22510.2,7,7.00573,0.999182
501,525392,586600,88928.5,5.90803,6.59631,0.895657
502,688904,689259,72351,9.52169,9.5266,0.999485
506,1.65121e+06,1.56701e+06,127445,12.9563,12.2956,1.05373
508,229468,229590,34680.3,6.61666,6.62017,0.99947
511,24338.4,24342.4,6090.75,3.99596,3.99661,0.999838
512,438577,438760,75471.8,5.81115,5.81357,0.999584
513,1.59108e+06,1.59161e+06,227298,7,7.00232,0.999669
516,986327,1.06196e+06,96519,10.219,11.0026,0.928781
519,5.17262e+06,4.3303e+06,169778,30.467,25.5058,1.19452
520,512087,513079,73155.2,7,7.01357,0.998065
522,1.13056e+06,1.13092e+06,159988,7.06649,7.06873,0.999683
525,468316,468537,83936.7,5.5794,5.58203,0.999528
526,1.67337e+06,1.67389e+06,255099,6.55969,6.56173,0.999689
527,977601,977848,121553,8.04258,8.04462,0.999747
528,91568.8,91619.8,13081.2,7,7.00391,0.999442
529,330814,331079,47259.1,7,7.00562,0.999198
552,467947,468094,66849.6,7,7.0022,0.999685
553,62507.1,62533.9,8929.58,7,7.00301,0.999571
558,33979.2,34001.6,4854.17,7,7.00463,0.99934
559,25669,25652.1,3667,7,6.99539,1.00066
568,29330.3,28342.1,4190.04,7,6.76416,1.03487
570,335404,335559,47914.8,7,7.00324,0.999537
575,3.05437e+06,335581,30345.7,100.653,11.0586,9.10173
576,3.77604e+06,728436,87645.9,43.0829,8.31112,5.18377
577,120238,120401,14147.9,8.49867,8.51017,0.998648
578,37794.2,30033.7,2728.17,13.8533,11.0087,1.25839
580,41062,41140,5866,7,7.01329,0.998105
582,440115,104799,11054.8,39.8123,9.48003,4.1996
584,317028,317214,45289.8,7,7.0041,0.999415
585,51555.6,51537.3,7365.08,7,6.99751,1.00036
587,853488,1.07526e+06,118768,7.18618,9.0534,0.793754
588,1.0259e+06,1.02624e+06,149720,6.8521,6.85435,0.999672
589,1.04308e+06,571223,64083.5,16.2769,8.91372,1.82605
592,1.27872e+07,941860,85508.5,149.543,11.0148,13.5766
594,137481,137475,19640.1,7,6.99973,1.00004
595,2.93027e+07,2.17037e+06,197190,148.602,11.0065,13.5013
596,544995,551281,28252.2,19.2904,19.5129,0.988597
598,94522.8,94563.2,13503.2,7,7.00299,0.999573
601,82380.1,82384.9,23537.2,3.5,3.5002,0.999942
628,1.01495e+06,74429.2,6766.33,150,10.9999,13.6364
631,240904,94259.4,12839.9,18.7621,7.34112,2.55576
632,229840,229884,32834.2,7,7.00134,0.999808
633,1.48999e+07,1.7288e+06,183445,81.223,9.42408,8.61867
637,989836,164490,19459.3,50.8669,8.45303,6.0176
638,57163.2,57212.6,8166.17,7,7.00605,0.999137
643,129374,129305,15325.1,8.44196,8.43746,1.00053
644,212574,212696,30367.7,7,7.00402,0.999426
647,33580.8,33611.1,4797.25,7,7.00632,0.999098
651,25117.2,25091.8,3588.17,7,6.99293,1.00101
655,68054,68105,9722,7,7.00525,0.999251
656,167222,167347,23888.8,7,7.00526,0.999249
659,63848.8,63940.3,9121.25,7,7.01004,0.998568
681,77592.1,77646.1,11084.6,7,7.00487,0.999305
682,6.31374e+06,627510,58661.8,107.629,10.6971,10.0616
686,142162,142302,20308.8,7,7.00693,0.999012
687,36031.3,36074.2,5147.33,7,7.00833,0.998811
690,1.16809e+07,1.03207e+06,95484.1,122.333,10.8088,11.3179
691,458861,459172,65551.6,7,7.00475,0.999322
693,194920,195341,27845.8,7,7.01512,0.997845
698,80036.5,80078,15332.9,5.21992,5.22262,0.999482
699,308161,308454,44023,7,7.00667,0.999049
700,499220,499467,74029.2,6.74356,6.7469,0.999505
701,77110.8,77175.8,11015.8,7,7.0059,0.999158
703,1.61656e+06,1.61752e+06,223772,7.22416,7.22845,0.999408
704,1.11607e+06,1.11666e+06,171502,6.50762,6.51103,0.999477
705,279895,280002,39985,7,7.00268,0.999617
706,168319,168369,36791.9,4.5749,4.57625,0.999705
708,5.59021e+06,394857,38320.2,145.882,10.3041,14.1576
709,281306,281371,42262.8,6.65612,6.65764,0.999772
710,272973,273173,41220.9,6.6222,6.62705,0.999267
711,112274,112326,16039.1,7,7.0033,0.999529
712,618642,385436,43793,14.1265,8.80131,1.60504
715,2.06547e+06,177388,17573.3,117.534,10.0942,11.6438
716,2.1703e+06,1.05833e+06,149308,14.5357,7.0882,2.05069
718,31337.2,29597.4,3377.92,9.27709,8.76203,1.05878
719,81933.8,82015.6,11704.8,7,7.00699,0.999003
724,839570,839944,141947,5.91466,5.9173,0.999554
728,171641,137237,13011.2,13.1918,10.5476,1.2507
729,2.95978e+06,341258,33699.2,87.8294,10.1266,8.67316
731,221924,222074,33409.2,6.64259,6.6471,0.999322
732,22977.5,22971.1,3279.83,7.00569,7.00374,1.00028
733,1.40157e+06,1.40287e+06,200224,7,7.00648,0.999075
737,104867,104991,14981,7,7.00825,0.998822
741,227869,210048,27137,8.39697,7.74028,1.08484
744,406295,406528,60518.2,6.7136,6.71744,0.999428
745,170341,170478,24334.4,7,7.00564,0.999195
746,1.08862e+06,1.08924e+06,155517,7,7.00398,0.999432
751,399486,399544,57069.5,7,7.00101,0.999856
771,276795,276814,44203.2,6.26188,6.2623,0.999933
773,650772,511764,46483.8,14,11.0095,1.27163
775,1.33545e+07,613640,55643.9,240,11.028,21.7628
777,1.20138e+07,728228,75770.8,158.554,9.61094,16.4972
781,1.51095e+06,315788,40181.9,37.6028,7.85895,4.78472
783,33535.2,33570.2,4790.75,7,7.00731,0.998957
790,57991.2,58018.6,11115.2,5.21727,5.21973,0.999527
792,72125.7,72155.2,10303.7,7,7.00286,0.999591
795,1.31394e+06,1.32534e+06,167302,7.85369,7.92181,0.991401
799,698398,698784,102163,6.83611,6.83988,0.999448
802,520837,521049,74405.2,7,7.00285,0.999594
804,1.32029e+06,188449,20564.2,64.2032,9.16392,7.00609
805,117931,117977,16847.3,7,7.00269,0.999616
809,957613,958171,136802,7,7.00408,0.999417
832,373839,374098,54521.7,6.8567,6.86145,0.999307
842,860200,860264,122886,7,7.00052,0.999926
844,1.68208e+07,938927,85331,197.124,11.0034,17.9149
848,61120.5,61185.9,8731.5,7,7.00749,0.998932
849,246986,247165,52703.8,4.6863,4.6897,0.999276
851,1.43937e+06,1.44015e+06,253274,5.68305,5.68612,0.999459
852,42284.4,42343.3,6213,6.80579,6.81528,0.998608
855,1.18068e+06,1.18132e+06,171175,6.89753,6.90125,0.999461
858,4.44467e+06,1.24625e+06,162751,27.3097,7.65739,3.56644
862,180158,180232,25736.9,7,7.00285,0.999593
881,691167,691506,98738.2,7,7.00344,0.999509
882,65146.1,102401,9306.58,7,11.0031,0.636184
883,64862,64936.4,9266,7,7.00803,0.998854
887,277766,277889,39680.8,7,7.0031,0.999558
888,1.25066e+06,1.25135e+06,179908,6.95164,6.95546,0.999451
890,6031.38,6032.83,1723.25,3.5,3.50085,0.999758
891,5.54906e+06,660503,59261.7,93.6365,11.1455,8.40125
893,47254.1,47297.9,6750.58,7,7.00649,0.999074
895,5.39694e+06,336216,30452.1,177.227,11.0408,16.052
897,665612,138070,17813.5,37.3656,7.75088,4.82082
900,101265,101318,14466.4,7,7.00368,0.999474
901,45557.8,45566.6,6508.25,7,7.00136,0.999806
902,173044,173080,24720.5,7,7.00147,0.999789
903,303376,303550,44605.3,6.80133,6.80523,0.999426
904,282529,282720,40361.2,7,7.00473,0.999324
937,16464.9,16485.6,2352.12,7,7.0088,0.998744
943,207463,207736,29637.6,7,7.00922,0.998685
958,297519,297820,42502.8,7,7.00708,0.99899
965,1.45252e+06,1.45315e+06,191922,7.56828,7.57158,0.999564
966,1.48645e+06,1.48723e+06,206264,7.20651,7.21029,0.999476
967,186247,186357,26606.8,7,7.00412,0.999412
969,347338,347515,49619.8,7,7.00355,0.999492
972,681240,681694,97320,7,7.00467,0.999334
974,1.38592e+06,1.38641e+06,197988,7,7.00247,0.999647
975,113610,113694,16230,7,7.00518,0.999261
977,94711.5,94764.3,14534.2,6.51647,6.52011,0.999442
979,74334.8,74386.1,10619.2,7,7.00483,0.99931
981,895815,885150,81192.2,11.0333,10.9019,1.01205
982,176276,176355,25182.3,7,7.00313,0.999553
983,139547,139617,19935.3,7,7.0035,0.9995
984,71923.2,71973,10274.8,7,7.00485,0.999308
986,1.53137e+06,1.53157e+06,194316,7.88085,7.88186,0.999873
987,42295.8,42245.1,7036.5,6.01091,6.00371,1.0012
988,187456,187593,33656.1,5.56975,5.57381,0.999272
989,617631,618045,96124.9,6.42529,6.42961,0.999329
991,88167.3,88211,14404.5,6.12082,6.12385,0.999505
996,1.34978e+06,1.35034e+06,194757,6.93061,6.93348,0.999586
998,578801,579074,87209.4,6.63691,6.64004,0.999529
1000,981110,981598,180619,5.43194,5.43464,0.999503
1009,1.15018e+06,1.18133e+06,173891,6.61435,6.79348,0.973633
1011,1.55421e+06,1.55509e+06,237192,6.55252,6.55625,0.999432
1015,444765,444968,63537.8,7,7.00321,0.999542
1026,1.37559e+07,1.07617e+06,109533,125.587,9.82508,12.7823
1029,3.50563e+06,327189,29213.6,120,11.1999,10.7144
1031,1.70986e+06,1.02507e+06,140110,12.2036,7.31616,1.66804
1043,278101,278197,52240,5.32352,5.32536,0.999654
1049,2.29791e+06,2.29894e+06,306530,7.49655,7.49991,0.999552
1060,61380.1,61425.4,8768.58,7,7.00516,0.999263
1061,401857,402178,58819.8,6.83202,6.83747,0.999203
1062,312760,312924,46135.7,6.77913,6.7827,0.999474
1066,182626,182740,28953.3,6.30761,6.31155,0.999375
1067,399153,399370,57668.8,6.92148,6.92522,0.999459
1068,1.32101e+06,1.32128e+06,194513,6.79133,6.79274,0.999793
1071,656312,656554,99060.7,6.62536,6.6278,0.999632
1072,220245,220425,38112,5.77888,5.78361,0.999182
1074,296527,296656,42495.7,6.97782,6.98084,0.999568
1075,151567,151674,21652.4,7,7.00496,0.999292
1076,176611,176652,25230.2,7,7.00162,0.999768
1081,212108,212254,30301.1,7,7.00484,0.999309
1082,76479.7,76569.5,13661.6,5.59816,5.60473,0.998827
1083,428215,428373,59372.6,7.21233,7.215,0.99963
1085,297036,297102,59269.4,5.01162,5.01274,0.999775
1087,266427,325545,46756.1,5.69824,6.96262,0.818405
1088,166431,166486,39762.1,4.18568,4.18706,0.999671
1090,119278,119318,18997.7,6.27856,6.28068,0.999662
1092,44593.2,44603.3,10629.4,4.19526,4.19621,0.999774
1094,150256,150332,21465.1,7,7.00354,0.999494
1095,185703,185776,26529,7,7.00275,0.999607
1096,234170,219838,30643.6,7.64174,7.17403,1.0652
1098,3.56022e+06,3.57827e+06,52065.8,68.3793,68.7259,0.994956
1099,107065,107131,15295,7,7.00431,0.999385
