zone_id,weekday_h00,weekday_h01,weekday_h02,weekday_h03,weekday_h04,weekday_h05,weekday_h06,weekday_h07,weekday_h08,weekday_h09,weekday_h10,weekday_h11,weekday_h12,weekday_h13,weekday_h14,weekday_h15,weekday_h16,weekday_h17,weekday_h18,weekday_h19,weekday_h20,weekday_h21,weekday_h22,weekday_h23,weekend_h00,weekend_h01,weekend_h02,weekend_h03,weekend_h04,weekend_h05,weekend_h06,weekend_h07,weekend_h08,weekend_h09,weekend_h10,weekend_h11,weekend_h12,weekend_h13,weekend_h14,weekend_h15,weekend_h16,weekend_h17,weekend_h18,weekend_h19,weekend_h20,weekend_h21,weekend_h22,weekend_h23
102,1.03529,1.01622,1.01404,1.01349,1.01349,1.01567,1.01622,1.00423,0.974805,1.02439,1.0282,0.979709,0.969901,0.980798,0.97426,0.956823,0.957368,0.951919,0.966631,0.991151,1.00041,0.999325,1.01676,1.02439,1.05977,1.05977,1.0449,1.05436,1.05706,1.06112,1.05301,1.04219,1.03138,1.00975,1.01651,0.973254,0.934053,0.915129,0.936757,0.917832,0.927295,0.929998,0.965143,0.974606,1.00164,1.01516,1.04895,1.0449
104,1.06125,1.17554,1.18207,1.19513,1.14942,1.18207,1.12983,1.08411,1.17554,1.12983,0.989415,0.933903,0.849003,0.82941,0.816349,0.803287,0.82288,0.888188,0.90778,0.920842,0.888188,1.06452,1.11023,1.16248,1.00449,1.1179,1.1341,1.1341,1.1503,1.06929,1.05309,1.03689,1.02069,1.00449,0.874875,0.93968,0.923479,0.923479,0.826271,0.777667,0.826271,0.907278,0.907278,0.826271,0.955882,1.03689,1.02879,1.06929
105,1.02857,1.05797,1.06398,1.076,1.07385,1.04295,1.00217,0.971272,0.90303,0.900884,0.907751,0.910755,0.914189,0.915691,0.885433,0.884145,0.887364,0.872986,0.894875,0.912472,0.960113,0.977281,1.01634,1.04209,1.09242,1.11372,1.12756,1.13395,1.12117,1.09455,1.05516,1.05516,1.01363,1.01576,1.00298,1.01044,1.00298,1.0147,0.973171,0.976365,0.980624,0.949746,0.959329,0.985947,1.01257,1.04025,1.06048,1.1052
106,0.997591,1.00807,0.997985,1.01326,0.999087,1.01389,1.02193,0.97168,0.994677,1.00176,1.00602,1.05059,1.03216,1.02492,1.02854,0.990345,0.998693,0.984281,0.971995,0.951519,0.956717,0.96097,0.961285,0.9983,0.98937,1.02415,1.00813,1.02551,1.01125,1.03196,1.04447,1.02766,1.01555,1.005,0.98937,0.99484,1.00109,1.02219,1.0007,0.990933,0.988588,0.967879,0.988979,0.98429,0.965534,0.979601,0.979406,1.02727
107,1.03057,1.07222,1.08374,1.07444,1.07709,1.07488,1.07089,1.0545,0.947719,0.946832,0.945503,0.92335,0.88436,0.873284,0.844927,0.813913,0.811919,0.833186,0.863979,0.887019,0.941516,0.990253,1.00842,1.03722,1.11673,1.14641,1.13652,1.1629,1.14971,1.14861,1.14421,1.13432,1.09475,1.07167,1.01451,0.982636,0.934273,0.932075,0.910092,0.906795,0.919984,0.911191,0.935372,0.961752,1.01011,1.031,1.06672,1.08596
108,1.15872,1.15602,1.16007,1.16277,1.16817,1.16007,1.14454,1.07094,0.847431,0.751546,0.736691,0.713058,0.704955,0.758299,0.73399,0.730614,0.736691,0.751546,0.777206,0.926435,1.05271,1.12293,1.15399,1.1837,1.20944,1.22954,1.23289,1.22954,1.24462,1.24964,1.21614,1.16086,1.07711,1.01178,0.953146,0.914618,0.899542,0.909593,0.87274,0.884466,0.86939,0.874415,0.909593,0.979948,1.0101,1.02685,1.09218,1.07878
109,1.04238,1.05365,1.05816,1.06718,1.06718,1.06899,1.07169,1.03471,0.969757,0.951715,0.882704,0.846169,0.875036,0.882704,0.868722,0.860603,0.866015,0.902099,0.918337,0.994114,1.03922,1.03561,1.03922,1.0744,1.09657,1.10328,1.09881,1.10552,1.10105,1.09433,1.0921,1.08986,1.063,1.03391,0.986914,0.953346,0.94887,0.977963,0.94887,0.964535,0.944394,0.953346,0.977963,0.989152,1.00034,0.995866,1.00034,1.00929
110,0.949337,1.02321,1.02174,1.02248,1.02983,1.01513,1.00042,0.982047,0.961465,0.999689,1.01035,1.00704,1.02137,1.04048,0.998219,0.998219,0.9905,0.966611,0.95632,0.929123,0.937943,0.928387,0.930593,0.940883,0.991999,1.04488,1.07041,1.07223,1.06312,1.05035,1.05947,1.054,1.01206,0.991999,0.979234,0.973764,1.00476,1.00841,1.00476,1.00659,0.970117,0.986528,0.997469,0.995646,0.997469,0.997469,0.995646,1.01023
111,1.03534,1.03836,1.04398,1.04744,1.04744,1.04009,1.02929,0.966201,0.885828,0.903977,0.873081,0.895767,0.929256,0.941787,0.928608,0.917805,0.918453,0.930552,0.938546,0.961016,0.976572,1.0012,1.02929,1.0375,1.07304,1.07197,1.07518,1.0784,1.07304,1.06875,1.07304,1.03874,0.996931,0.982995,0.962628,0.972276,0.990499,1.03338,1.02695,1.00336,0.996931,1.00336,1.01087,1.00336,1.00122,1.03874,1.05107,1.05589
115,0.92238,0.930035,0.914725,0.933862,0.910898,0.918553,0.910898,0.884107,0.88028,0.88028,1.05251,1.09461,0.987444,0.983617,0.975962,0.933862,0.975962,0.918553,1.03337,1.43141,1.51561,1.42758,1.01806,0.975962,1.00643,0.977949,0.930476,0.930476,0.930476,0.977949,0.968455,0.920982,0.949465,0.968455,0.939971,1.01593,1.03492,0.949465,0.939971,0.968455,0.987444,0.911487,0.949465,1.0729,1.16784,1.11087,1.02068,0.95896
123,1.02314,1.00321,1.00184,0.999092,1.00184,1.00047,0.990846,0.959238,0.868536,0.942747,0.937937,0.922133,0.989472,1.03688,1.02245,0.996343,0.963361,0.948244,0.90839,0.956489,1.06918,1.09254,1.06231,1.05681,1.06709,1.04323,1.0705,1.06709,1.05005,1.07391,1.01254,0.98186,0.954587,0.964814,0.951177,0.910266,0.94095,0.992088,0.998907,0.957996,0.951177,0.957996,0.971633,1.02618,1.06368,1.108,1.0705,1.06027
124,1.22453,1.28503,1.28503,1.29194,1.29799,1.28589,1.27638,1.20725,0.992072,0.839977,0.673191,0.618748,0.628254,0.633871,0.609242,0.600601,0.622205,0.59628,0.650723,0.764794,0.909975,1.05861,1.1217,1.20725,1.20911,1.31416,1.30558,1.3163,1.30773,1.30773,1.31202,1.3163,1.20054,1.09763,0.911122,0.855382,0.795356,0.833944,0.782493,0.793212,0.782493,0.799643,0.825369,0.906834,0.992587,1.0569,1.12979,1.16624
202,1.04941,1.057,1.07435,1.07435,1.05375,1.04833,1.06025,1.03423,0.996291,0.958347,0.976777,1.01689,1.01364,1.01635,0.994123,0.99087,0.989786,0.99087,1.01906,1.08736,1.0841,1.06459,1.07109,1.05917,1.00584,1.03811,1.04349,1.05156,1.04618,1.03811,1.01391,0.992392,1.00584,0.984324,0.906331,0.890195,0.927846,0.927846,0.903642,0.9144,0.895574,0.882127,0.95743,0.949362,0.981635,0.965498,0.964154,0.933225
204,0.931631,0.940016,0.922363,0.933838,0.929424,0.935603,0.940016,0.958552,1.04593,1.19069,1.20966,1.22246,1.25159,1.20702,1.25159,1.24806,1.21099,1.17701,1.10242,1.07065,1.0627,0.986796,0.975322,0.955904,0.897751,0.910889,0.915268,0.915268,0.90213,0.897751,0.90213,0.915268,0.897751,0.886803,0.937164,0.939354,0.945923,0.996285,1.01599,1.01818,1.00066,0.954682,0.937164,0.932785,0.915268,0.899941,0.890087,0.915268
205,1.051,1.05427,1.06246,1.06246,1.04118,1.06082,1.04936,1.03954,0.964235,0.88893,0.899571,0.854551,0.851277,0.915123,0.920034,0.960961,0.95605,1.01826,1.03954,1.04773,1.08865,1.07064,1.05591,1.05591,1.01936,0.999054,1.03154,0.98281,0.999054,1.00312,0.999054,0.974687,0.954381,0.954381,0.954381,0.921892,0.938137,0.921892,0.966565,0.98281,0.974687,1.04373,1.05997,1.06403,1.05185,1.05185,1.07419,1.06809
206,0.744738,0.764563,0.748853,0.744364,0.742868,0.740998,0.755586,0.771296,0.883886,1.45058,1.76796,1.87737,1.86316,1.8149,1.77002,1.75431,1.6967,1.61254,1.36941,1.06193,0.909696,0.78364,0.747357,0.743616,0.743278,0.74699,0.738638,0.741422,0.738638,0.74699,0.758125,0.739566,0.775756,0.850919,0.942785,0.98083,0.960416,0.978046,0.993821,0.951136,0.939073,0.891748,0.870406,0.771116,0.76926,0.74699,0.74467,0.759053
208,0.997683,0.92767,0.929615,0.914056,0.92767,0.92378,0.925725,0.836264,0.774031,1.09687,1.26023,1.22717,1.14354,1.12021,1.04047,0.989904,0.999628,1.00352,0.838209,0.797368,0.882939,0.92767,0.984069,0.993793,1.07106,1.06624,1.09036,1.06141,1.09036,1.05176,1.06141,1.04211,1.03729,1.05659,1.07106,1.03729,1.04694,1.09036,1.04211,1.01799,0.984219,1.00352,0.873253,0.907025,0.926323,0.940797,1.00352,0.96492
212,0.98268,0.98268,0.986952,0.98268,0.978407,0.961317,0.974135,0.952772,0.824596,1.13649,1.20485,1.23476,1.37575,1.28176,1.2134,1.17067,1.14931,1.08308,0.96559,0.939955,0.96559,0.974135,1.01259,0.978407,0.837332,0.879728,0.847931,0.869129,0.869129,0.879728,0.85853,0.932724,0.975121,1.03872,1.09171,1.14471,1.10231,1.00692,1.04931,1.04931,1.04931,0.911526,0.98572,0.911526,0.869129,0.869129,0.810834,0.847931
213,0.966592,0.974402,0.974402,0.973801,0.961786,0.95638,0.945566,0.943764,0.922738,0.996629,1.01525,1.00985,1.01195,1.01585,1.00023,0.99723,0.979208,0.970497,0.952775,0.950372,0.973801,0.971398,0.960585,0.958182,1.01787,1.04321,1.04619,1.05811,1.03576,1.02682,1.01191,1.00148,0.983598,0.988069,0.949321,0.970185,1.0134,1.03725,1.06854,1.08196,1.05513,1.01489,0.955282,1.02533,1.02682,1.05513,1.06258,1.08792
214,1.07832,0.976833,1.02124,0.976833,0.976833,0.957804,0.964147,0.964147,0.856315,0.818257,0.862658,0.767512,0.780198,0.805571,0.767512,0.735797,0.786541,0.767512,0.792884,0.849972,0.90706,0.951461,0.938775,0.945118,1.1015,1.16444,1.13297,1.18018,1.18018,1.13297,1.18018,1.21165,1.13297,1.11724,1.03856,0.991349,0.975614,1.02282,1.02282,1.1015,1.1015,1.02282,1.00709,1.11724,1.14871,1.19591,1.25886,1.21165
215,0.702586,0.742189,0.746589,0.739255,0.740722,0.750989,0.772991,0.746589,1.01941,1.96695,2.40845,2.32484,2.11729,2.01315,2.00802,2.00508,1.92588,1.83714,1.40664,1.01941,0.796459,0.728988,0.704052,0.66885,0.527616,0.607668,0.654972,0.676804,0.665888,0.640417,0.654972,0.654972,0.665888,0.771411,0.844186,0.866018,0.844186,0.83327,0.851463,0.86238,0.829631,0.836908,0.760495,0.640417,0.625862,0.625862,0.594933,0.571281
216,1.02602,1.08706,1.08474,1.11497,1.12775,1.11729,1.12543,1.1138,1.058,1.04986,1.08183,1.00568,0.991726,0.976031,0.954522,0.923131,0.91383,0.861511,0.810355,0.778964,0.863837,0.933595,0.970799,1.008,1.06139,1.06139,1.09312,1.08735,1.10754,1.11331,1.10754,1.12196,1.12773,1.06139,1.02102,0.940257,0.931605,0.931605,0.896994,0.850846,0.830657,0.865268,0.908531,0.920068,0.977752,1.00083,0.984963,1.01813
217,0.763794,0.732925,0.728968,0.725802,0.719998,0.719206,0.723955,0.726857,1.0023,1.73786,1.86833,1.82387,1.7558,1.68879,1.60595,1.56136,1.54183,1.50595,1.31837,1.049,0.946629,0.846901,0.808381,0.776721,0.77559,0.756609,0.74941,0.746137,0.740247,0.742865,0.739592,0.72912,0.786717,0.931363,0.988959,1.01252,1.01514,0.995504,0.989614,0.968015,0.972596,0.902564,0.896674,0.814861,0.777554,0.7553,0.803079,0.730429
223,1.07673,1.08769,1.08803,1.0907,1.08702,1.0907,1.08635,1.05806,0.949093,0.960308,1.06283,1.06359,1.04024,1.00006,0.959304,0.933861,0.904317,0.900132,0.906744,0.914276,0.955956,1.00969,1.05522,1.06175,1.07675,1.11163,1.11786,1.11661,1.10416,1.11994,1.12077,1.1054,1.09253,1.03024,0.987055,0.934941,0.884903,0.881166,0.850852,0.83092,0.823446,0.828429,0.847946,0.875767,0.911894,0.962555,1.0018,1.03979
224,1.11835,1.12962,1.13364,1.13487,1.13487,1.12561,1.12499,1.10615,0.974249,0.847602,0.831231,0.836482,0.850382,0.857796,0.833702,0.828142,0.832776,0.837409,0.863356,0.951699,1.01286,1.06723,1.10367,1.13086,1.10423,1.11649,1.11879,1.11496,1.11342,1.10729,1.10883,1.10423,1.05059,1.01304,0.957865,0.918018,0.90116,0.911888,0.90729,0.903459,0.891964,0.878937,0.910355,0.978555,1.01304,1.03756,1.07089,1.09963
225,0.903071,0.873093,0.865599,0.835622,0.846863,0.839369,0.846863,0.828127,1.04546,1.29278,1.29465,1.23282,1.26655,1.23095,1.21783,1.18786,1.20659,1.17662,1.08668,0.993003,0.959279,0.978015,0.989256,0.981762,0.994661,0.994661,0.976069,0.966773,0.976069,0.985365,0.948181,0.957477,0.957477,0.929589,0.985365,0.994661,0.966773,0.910998,0.929589,0.966773,0.920294,0.976069,0.976069,0.994661,0.910998,0.948181,0.934237,0.920294
226,0.884859,0.87018,0.86298,0.855779,0.861872,0.850794,0.857441,0.850794,0.905076,1.44901,1.64703,1.66614,1.63733,1.62626,1.51769,1.45621,1.43544,1.37866,1.15821,1.00921,0.94828,0.887905,0.907292,0.890121,0.813469,0.798354,0.801102,0.791484,0.783239,0.794232,0.807973,0.784613,0.795606,0.8808,0.945383,0.964621,0.937139,0.955002,1.00172,0.949505,0.959124,0.906908,0.82721,0.813469,0.810721,0.821714,0.818966,0.823088
