zone_id,e_price_mean,e_price_std,e_price_changes,s_price_mean,s_price_std,s_price_changes,total_price_mean
102,1.02653,0.0811335,1447,0.761879,0.0938014,1620,1.78841
104,0.923333,0,1,0.76,0,1,1.68333
105,1.12417,0,1,0.75,0,1,1.87417
106,1.17,0,1,0.633333,0,1,1.80333
107,0.926364,0,1,0.737275,0.000151724,3,1.66364
108,0.75856,0,1,0.76144,0,1,1.52
109,1.004,0,1,0.76,0,1,1.764
110,1.00545,0,1,0.758182,0,1,1.76364
111,1.06917,0.031971,1236,0.765481,0.0275359,1473,1.83465
115,1.15,0,1,0.76,0,1,1.91
123,0.783333,0,1,0.76,0,1,1.54333
124,1.02,0,1,0.76,0,1,1.78
202,1.00667,0,1,0.76,0,1,1.76667
204,0.964917,0.0395939,1086,0.755656,0.0386244,1199,1.72057
205,0.98581,0.00326489,62,0.760042,3.23406e-05,62,1.74585
206,1.10726,0.0425752,1260,0.75199,0.0476651,1446,1.85925
208,1.35,0,1,0.76,0,1,2.11
212,1.06325,0,1,0.75925,0,1,1.8225
213,1.07727,0,1,0.76,0,1,1.83727
214,1.125,0,1,0.76,0,1,1.885
215,1,0,1,0.7,0,1,1.7
216,0.863333,0,1,0.76,0,1,1.62333
217,0.989003,0.000174028,3,0.76,7.13078e-06,3,1.749
223,1.05002,0.0415179,1397,0.728411,0.0374355,1635,1.77843
224,1.07952,0,1,0.76,0,1,1.83952
225,1.09,0,1,0.76,0,1,1.85
226,0.998023,0.0445688,1048,0.731149,0.0382932,1179,1.72917
227,0.927081,0.0880574,1555,0.775116,0.102092,1781,1.7022
235,0.775,0,1,0.76,0,1,1.535
307,0.932,0,1,0.744794,0.00299643,46,1.67679
309,0.907754,0.00364816,78,0.704041,0.00525008,66,1.61179
310,0.72,0,1,0.76,0,1,1.48
311,1.01,0,1,0.648,0,1,1.658
316,0.77,0,1,0.76,0,1,1.53
320,0.984,0,1,0.761,0,1,1.745
321,1.25,0,1,0.57,0,1,1.82
322,0.72,0,1,0.76,0,1,1.48
323,1.2,0,1,0.7,0,1,1.9
324,1.07714,0,1,0.756036,0.00667847,20,1.83318
325,1.00563,0.0655974,1453,0.737398,0.0754234,1628,1.74303
326,1.01714,0,1,0.742857,0,1,1.76
328,0.868461,0.0588454,1233,0.750091,0.0504234,1474,1.61855
329,0.907,0,1,0.760059,0,1,1.66706
330,0.9,0,1,0.76,0,1,1.66
331,0.7,0,1,0.76,0,1,1.46
332,0.935,0,1,0.771667,0,1,1.70667
333,1.01124,0.00382356,23,0.76,0,1,1.77124
335,1.0106,0.033145,1955,0.749289,0.0350647,2010,1.75989
340,0.711568,0.353705,1236,0.819378,0.303711,1471,1.53095
343,0.76,0,1,0.76,0,1,1.52
346,0.784738,0.209331,1988,0.715185,0.199519,2062,1.49992
347,0.99,0,1,0.76,0,1,1.75
348,0.7,0,1,0.76,0,1,1.46
406,1,0,1,0.76,0,1,1.76
408,1.09995,0.00156728,7,0.76,0,1,1.85995
501,0.928,0,1,0.76,0,1,1.688
502,0.923103,0.0764681,1236,0.771713,0.0606989,1460,1.69482
506,1.11033,0.0620608,931,0.644116,0.0538048,1255,1.75444
508,0.949012,0.0441504,1236,0.767406,0.0378668,1484,1.71642
511,0.905,0,1,0.66,0,1,1.565
512,1.05705,0.00810151,88,0.754815,0.00720958,89,1.81187
513,0.697305,0.0916966,1559,0.746695,0.106115,1739,1.444
516,0.834984,0.400756,1447,0.9164,0.45311,1605,1.75138
519,1.22231,0.0796083,2211,0.563636,0.0791356,2263,1.78595
520,1.02986,0.12341,1053,0.77336,0.134246,1205,1.80323
522,0.847187,0.163224,1644,0.686528,0.193245,1855,1.53371
525,0.944785,0.0543227,1237,0.745822,0.0432374,1474,1.69061
526,1.11166,0.0502411,1373,0.605608,0.042968,1621,1.71727
527,0.970623,0.0708116,1228,0.759601,0.0606581,1469,1.73022
528,1.09561,0.00415278,99,0.73,0,1,1.82561
529,0.717,0,1,0.763,0,1,1.48
552,0.78765,0,1,0.76253,0.0244604,58,1.55018
553,1.7,0,1,0,0,1,1.7
558,1.05,0,1,0.71,0,1,1.76
559,1.2,0,1,0.47,0,1,1.67
568,1,0,1,0.66,0,1,1.66
570,0.8,0,1,0.76,0,1,1.56
575,0.710048,0.343898,1018,0.422518,0.250901,1076,1.13257
576,0.887315,0.0675739,666,0.712122,0.0474546,789,1.59944
577,1.2,0,1,0.76,0,1,1.96
578,1.2,0,1,0.76,0,1,1.96
580,0.8,0,1,0.76,0,1,1.56
582,1.10146,0.0822338,1084,0.687453,0.0781227,1134,1.78891
584,1.075,0,1,0.76,0,1,1.835
585,0.8,0,1,0.76,0,1,1.56
587,1.1483,0,1,0.685033,0,1,1.83333
588,0.710776,0.00862688,201,0.766362,0.0192004,286,1.47714
589,0.989994,0.0568173,1192,0.690949,0.0450822,1269,1.68094
592,0.997855,0.164442,1131,0.356984,0.150233,1400,1.35484
594,1.00364,0.162376,1449,0.793681,0.189537,1659,1.79732
595,0.695756,0.322727,1375,0.523269,0.295376,1693,1.21903
596,0.828856,0.133178,603,0.586807,0.101133,757,1.41566
598,1.28,0,1,0.76,0,1,2.04
601,0.86,0,1,0.64,0,1,1.5
628,0.762592,0.36688,1447,0.776105,0.425602,1623,1.5387
631,1.07792,0.122408,1457,0.764784,0.141881,1634,1.84271
632,0.933333,0,1,0.72,0,1,1.65333
633,0.666416,0.133759,1105,0.656296,0.101511,1379,1.32271
637,0.85992,0.19735,1354,0.625242,0.198564,1359,1.48516
638,1.25,0,1,0.615,0,1,1.865
643,1.07761,0.110367,1330,0.790579,0.125797,1530,1.86818
644,0.94,0,1,0.76,0,1,1.7
647,1,0,1,0.66,0,1,1.66
651,1.8,0,1,0,0,1,1.8
655,1.2,0,1,0.76,0,1,1.96
656,1.2,0,1,0.76,0,1,1.96
659,1.2,0,1,0.76,0,1,1.96
681,0.72,0,1,0.76,0,1,1.48
682,0.922684,0.133251,653,0.639635,0.0882315,758,1.56232
686,1.01429,0,1,0.76,0,1,1.77429
687,0.96,0,1,0.76,0,1,1.72
690,0.921799,0.13267,630,0.616858,0.0873822,742,1.53866
691,0.72,0,1,0.76,0,1,1.48
693,0.95,0,1,0.766775,0.0220559,46,1.71677
698,0.8,0,1,0.76,0,1,1.56
699,0.9048,0,1,0.76183,0.00554735,46,1.66663
700,0.925305,0.0588797,1230,0.769882,0.05047,1475,1.69519
701,1.25,0,1,0.76,0,1,2.01
703,0.851587,0.0461482,605,0.749311,0.0445628,891,1.6009
704,0.790271,0.088113,1290,0.775032,0.0754826,1534,1.5653
705,1,0,1,0.76,0,1,1.76
706,0.889516,0.115436,1170,0.757358,0.121836,1153,1.64687
708,0.92642,0.121732,1175,0.697795,0.0860289,1131,1.62422
709,0.972857,0,1,0.765714,0,1,1.73857
710,1.01714,0,1,0.742857,0,1,1.76
711,0.906667,0,1,0.76,0,1,1.66667
712,1.10734,0.0701279,1180,0.718658,0.0702082,1187,1.826
715,1.15752,0.162607,1447,0.383235,0.188328,1625,1.54075
716,0.809002,0.0574165,1447,0.751896,0.0663525,1625,1.5609
718,0.96,0,1,0.76,0,1,1.72
719,0.72,0,1,0.76,0,1,1.48
724,0.983893,0.0885409,2148,0.779063,0.083091,2315,1.76296
728,1,0,1,0.76,0,1,1.76
729,1.01393,0.107784,1048,0.553597,0.0838136,1214,1.56753
731,1.29,0,1,0.608,0,1,1.898
732,1.1,0,1,0.64,0,1,1.74
733,1.01667,0,1,0.76,0,1,1.77667
737,1.16667,0,1,0.76,0,1,1.92667
741,0.804514,0.107837,1083,0.792175,0.12723,1211,1.59669
744,0.810854,0.00794385,66,0.705,0,1,1.51585
745,0.69,0,1,0.76,0,1,1.45
746,0.791429,0,1,0.76,0,1,1.55143
751,0.78,0,1,0.7,0,1,1.48
771,0.712118,0.352857,1229,0.578971,0.303385,1477,1.29109
773,0.8,0,1,0.76,0,1,1.56
775,0.673418,0.341675,1078,0.499312,0.268949,1274,1.17273
777,0.999928,0.0100405,505,0.537432,0.0185911,771,1.53736
781,0.855189,0.231204,1650,0.770637,0.267671,1816,1.62583
783,1.2,0,1,0.76,0,1,1.96
790,1.05,0,1,0.7,0,1,1.75
792,1.2,0,1,0.76,0,1,1.96
795,0.725173,0.0848559,1218,0.750987,0.0912426,1352,1.47616
799,1.07333,0,1,0.76,0,1,1.83333
802,1.2425,0,1,0.76,0,1,2.0025
804,1.01062,0.16121,1187,0.662941,0.157927,1226,1.67356
805,1.5,0,1,0.76,0,1,2.26
809,0.973333,0,1,0.76,0,1,1.73333
832,0.8,0,1,0.76,0,1,1.56
842,0.729557,0.184076,2146,0.79639,0.160461,2303,1.52595
844,0.662279,0.319313,1193,0.607424,0.280249,1415,1.2697
848,0.8,0,1,0.76,0,1,1.56
849,1.03,0,1,0.76,0,1,1.79
851,0.766216,0.0648943,1447,0.706393,0.0752859,1620,1.47261
852,0.72,0,1,0.76,0,1,1.48
855,0.951053,0,1,0.76,0,1,1.71105
858,0.706308,0.0527354,482,0.701034,0.0366592,671,1.40734
862,0.97,0,1,0.76,0,1,1.73
881,0.698016,0.368076,866,0.738062,0.386331,866,1.43608
882,1.05,0,1,0.82,0,1,1.87
883,0.91,0,1,0.76,0,1,1.67
887,0.7,0,1,0.76,0,1,1.46
888,0.780619,0.0594976,1447,0.742268,0.0691791,1615,1.52289
890,1.1,0,1,0.64,0,1,1.74
891,0.641037,0.315724,971,0.482962,0.172815,1001,1.124
893,1.3,0,1,0.76,0,1,2.06
895,0.736151,0.346495,1032,0.415889,0.263003,1037,1.15204
897,0.841299,0.160923,1291,0.570853,0.176445,1259,1.41215
900,0.705007,0.0141462,64,0.76,0,1,1.46501
901,1.17498,0.00151724,3,0.76,0,1,1.93498
902,0.668139,0.212504,1603,0.62514,0.245694,1732,1.29328
903,1.1,0,1,0.76,0,1,1.86
904,0.783333,0,1,0.76,0,1,1.54333
937,0.86,0,1,0.64,0,1,1.5
943,0.72,0,1,0.76,0,1,1.48
958,0.985603,0.0673114,1230,0.771578,0.0769325,1428,1.75718
965,0.705716,0.176806,1242,0.789932,0.151521,1490,1.49565
966,0.763631,0.0589138,1244,0.759905,0.0504969,1496,1.52354
967,0.94,0,1,0.76,0,1,1.7
969,1.14,0,1,0.76,0,1,1.9
972,0.832,0.135702,70,0.76,0,1,1.592
974,0.824444,0,1,0.76,0,1,1.58444
975,0.9,0,1,0.76,0,1,1.66
977,1.2,0,1,0.76,0,1,1.96
979,1,0,1,0.76,0,1,1.76
981,0.917479,0.133586,1447,0.770501,0.15341,1611,1.68798
982,0.913333,0,1,0.76,0,1,1.67333
983,0.81,0,1,0.76,0,1,1.57
984,0.9,0,1,0.76,0,1,1.66
986,0.905587,0.213575,1609,0.811833,0.245423,1832,1.71742
987,1.21667,0,1,0.773453,0.0163069,56,1.99012
988,0.710557,0.0884779,1233,0.774497,0.0760936,1476,1.48505
989,0.976724,0.0269858,64,0.764072,4.49089e-05,64,1.7408
991,0.71,0,1,0.76,0,1,1.47
996,0.90125,0,1,0.76,0,1,1.66125
998,0.963778,0,1,0.747333,0,1,1.71111
1000,0.873465,0.000119201,43,0.739392,0.000119201,43,1.61286
1009,0.913818,0,1,0.748909,0,1,1.66273
1011,0.881168,0.000412267,17,0.754359,6.70956e-05,17,1.63553
1015,1.1,0,1,0.76,0,1,1.86
1026,1.01207,0.053371,648,0.716254,0.0391087,771,1.72833
1029,0.650921,0.262656,476,0.506816,0.184576,661,1.15774
1031,0.87023,0.0990628,1543,0.724459,0.0898176,1557,1.59469
1043,0.9,0,1,0.72,0,1,1.62
1049,0.775775,0,1,0.744225,0,1,1.52
1060,1.2,0,1,0.76,0,1,1.96
1061,0.75,0,1,0.76,0,1,1.51
1062,1.07,0,1,0.672727,0,1,1.74273
1066,1,0,1,0.745,0,1,1.745
1067,1.0875,0,1,0.76,0,1,1.8475
1068,0.915522,0.0604662,1573,0.76637,0.0508807,1758,1.68189
1071,0.905834,0.176986,1230,0.729952,0.151342,1466,1.63579
1072,0.830617,0.217939,2218,0.718852,0.216053,2326,1.54947
1074,0.964286,0.0475878,1447,0.755969,0.0568454,1626,1.72026
1075,1.2,0,1,0.76,0,1,1.96
1076,0.948,0,1,0.76,0,1,1.708
