zone_id,mean_utilisation,p95_utilisation,max_utilisation,share_at_ceiling,share_above_90,capacity_points
102,0.473596,0.7,1,0.00115101,0.00115101,30
104,0.0629725,0.157895,0.263158,0,0,19
105,0.191119,0.258065,0.354839,0,0,93
106,0.512082,0.708333,0.78125,0,0,96
107,0.195619,0.272727,0.306818,0,0,88
108,0.340874,0.515152,1,0.00115101,0.00115101,33
109,0.21827,0.333333,0.461538,0,0,39
110,0.151922,0.231884,0.463768,0,0,69
111,0.208501,0.270588,0.352941,0,0,85
115,0.0887031,0.217391,0.478261,0,0,23
123,0.200576,0.357143,0.607143,0,0,28
124,0.156441,0.267857,0.464286,0,0,56
202,0.127185,0.210526,0.333333,0,0,57
204,0.158616,0.263158,0.368421,0,0,57
205,0.105244,0.155556,0.244444,0,0,45
206,0.175101,0.362205,0.551181,0,0,127
208,0.30369,0.538462,1,0.00115101,0.00115101,13
212,0.0687624,0.148148,0.333333,0,0,27
213,0.172471,0.243243,0.364865,0,0,74
214,0.129169,0.333333,1,0.00115101,0.00115101,9
215,0.114052,0.269231,0.442308,0,0,52
216,0.277711,0.458333,0.833333,0,0,24
217,0.242624,0.48062,0.891473,0,0,129
223,0.249157,0.315508,0.449198,0,0,187
224,0.187579,0.263158,0.323308,0,0,133
225,0.105231,0.25,0.55,0,0,20
226,0.206142,0.388889,0.638889,0,0,72
227,0.377594,0.520548,0.863014,0,0,73
235,0.353797,0.511628,0.953488,0,0.000230203,43
307,0.259,0.349112,0.60355,0,0,169
309,0.207526,0.323529,0.426471,0,0,136
310,0.215447,0.5,1,0.00184162,0.00184162,10
311,0.234402,0.5,0.5625,0,0,64
316,0.482447,1,1,0.0743554,0.0743554,4
320,0.162468,0.28,0.48,0,0,25
321,0.219153,0.454545,1,0.00115101,0.00115101,44
322,0.198444,0.416667,1,0.00115101,0.00115101,24
323,0.240253,0.780488,1,0.00299263,0.00437385,41
324,0.118433,0.233333,0.416667,0,0,60
325,0.185975,0.428571,0.755102,0,0,49
326,0.185558,0.40566,0.90566,0,0.000230203,106
328,0.312115,0.493333,0.96,0,0.000460405,75
329,0.246889,0.34252,0.42126,0,0,254
330,0.304926,0.466667,0.7,0,0,30
331,0.481149,0.694444,1,0.00092081,0.00092081,36
332,0.216326,0.346939,0.496599,0,0,147
333,0.363877,0.545455,1,0.00184162,0.00230203,22
335,0.307103,0.393574,0.694779,0,0,249
340,0.365176,0.565217,0.73913,0,0,23
343,0.156858,0.535714,0.892857,0,0,28
346,0.383891,0.672131,1,0.00092081,0.00207182,61
347,0.149632,0.275862,0.413793,0,0,29
348,0.0692666,0.151515,0.212121,0,0,33
406,0.20405,0.428571,0.642857,0,0,14
408,0.139323,0.245614,0.45614,0,0,57
501,0.461546,0.659574,1,0.00115101,0.00115101,47
502,0.226205,0.35,0.7,0,0,100
506,0.275195,0.351852,0.432099,0,0,162
508,0.140637,0.210526,0.394737,0,0,76
511,0.125,0.333333,0.666667,0,0,15
512,0.234207,0.337209,0.627907,0,0,86
513,0.35495,0.508772,1,0.000460405,0.00092081,171
516,0.333761,0.507042,1,0.00276243,0.00322284,71
519,0.390874,0.55157,0.973094,0,0.00092081,223
520,0.319776,0.467742,0.927419,0,0.00253223,124
522,0.490749,0.709302,1,0.000690608,0.00092081,86
525,0.243686,0.34375,0.427083,0,0,96
526,0.392702,0.522901,1,0.000690608,0.000690608,262
527,0.27454,0.390411,0.630137,0,0,146
528,0.497921,0.636364,1,0.00115101,0.00115101,33
529,0.269443,0.395833,0.520833,0,0,48
552,0.336744,0.530612,1,0.00115101,0.00115101,49
553,0.199471,0.363636,0.727273,0,0,22
558,0.371383,0.785714,1,0.00115101,0.00115101,28
559,0.417576,1,1,0.127532,0.129604,20
568,0.605456,1,1,0.203499,0.207873,20
570,0.553769,0.904762,1,0.0128913,0.104972,21
575,0.494069,1,1,0.0600829,0.0718232,17
576,0.34415,0.569444,1,0.000460405,0.000460405,72
577,0.158926,0.333333,0.541667,0,0,24
578,0.182378,0.333333,0.5,0,0,12
580,0.0762661,0.2,0.3,0,0,20
582,0.419699,0.552632,0.894737,0,0,38
584,0.203972,0.309091,0.509091,0,0,55
585,0.142706,0.333333,0.5,0,0,12
587,0.230368,0.371212,0.704545,0,0,132
588,0.403015,0.59375,1,0.000690608,0.000690608,96
589,0.201551,0.4,0.514286,0,0,105
592,0.310024,0.602273,0.761364,0,0,88
594,0.148405,0.315789,0.447368,0,0,38
595,0.377578,0.693431,1,0.00230203,0.00230203,137
596,0.581216,0.909091,1,0.00368324,0.0550184,55
598,0.264081,0.5,1,0.00230203,0.00230203,12
601,0.479704,0.833333,1,0.0186464,0.0497238,12
628,0.318178,1,1,0.0577808,0.0577808,6
631,0.0935773,0.176471,0.323529,0,0,34
632,0.377152,0.566667,0.833333,0,0,30
633,0.523586,0.725926,1,0.000460405,0.000690608,135
637,0.150253,0.285714,0.542857,0,0,35
638,0.239065,0.590909,0.772727,0,0,22
643,0.255393,0.411765,0.764706,0,0,34
644,0.166247,0.291667,0.729167,0,0,48
647,0.391678,1,1,0.0649171,0.0649171,20
651,0.702322,1,1,0.45511,0.45511,9
655,0.0953854,0.291667,0.458333,0,0,24
656,0.129137,0.22,0.48,0,0,50
659,0.140858,0.5,1,0.00138122,0.00138122,18
681,0.244705,0.388889,1,0.00115101,0.00115101,18
682,0.307592,0.62,1,0.00115101,0.00115101,50
686,0.124247,0.191011,0.337079,0,0,89
687,0.0575842,0.166667,0.25,0,0,24
690,0.353624,0.7,1,0.00115101,0.00138122,70
691,0.490371,0.8,1,0.00138122,0.00368324,35
693,0.37724,0.661017,1,0.000690608,0.000690608,59
698,0.416104,0.666667,1,0.00322284,0.00322284,9
699,0.239724,0.351852,0.5,0,0,54
