zone_id,segment
102,2
104,0
105,2
106,2
107,0
108,0
109,2
110,2
111,2
115,2
123,2
124,0
202,2
204,2
205,2
206,1
208,2
212,2
213,2
214,0
215,1
216,2
217,1
223,2
224,0
225,2
226,2
227,2
235,0
307,2
309,2
310,0
311,0
316,2
320,2
321,2
322,2
323,1
324,2
325,1
326,1
328,0
329,0
330,2
331,0
332,2
333,2
335,0
340,2
343,1
346,2
347,2
348,0
406,0
408,0
501,0
502,0
506,0
508,0
511,0
512,0
513,0
516,0
519,2
520,2
522,0
525,0
526,0
527,0
528,2
529,2
552,0
553,2
558,2
559,2
568,2
570,0
575,0
576,0
577,0
578,0
580,0
582,2
584,0
585,2
587,0
588,0
589,0
592,0
594,0
595,0
596,2
598,0
601,0
628,0
631,2
632,0
633,0
637,0
638,2
643,2
644,0
647,2
651,2
655,1
656,0
659,1
681,0
682,0
686,2
687,0
690,0
691,0
693,2
698,0
699,0
700,0
701,2
703,0
704,0
705,2
706,2
708,0
709,0
710,2
711,0
712,0
715,0
716,0
718,2
719,0
724,2
728,0
729,0
731,0
732,2
733,0
737,2
741,0
744,2
745,0
746,0
751,0
771,0
773,0
775,2
777,2
781,2
783,2
790,2
792,0
795,0
799,0
802,2
804,0
805,1
809,0
832,0
842,0
844,0
848,2
849,0
851,0
852,0
855,0
858,0
862,0
881,0
882,2
883,0
887,0
888,0
890,2
891,0
893,2
895,0
897,0
900,0
901,1
902,2
903,0
904,0
937,2
943,0
958,2
965,0
966,0
967,0
969,0
972,0
974,0
975,0
977,0
979,2
981,0
982,0
983,0
984,2
986,0
987,2
988,0
989,0
991,2
996,0
998,0
1000,0
1009,0
1011,0
1015,0
1026,0
1029,2
1031,2
1043,0
1049,0
1060,2
1061,2
1062,2
1066,0
1067,0
1068,2
1071,0
1072,1
1074,0
1075,0
1076,2
1081,2
1082,2
1083,0
1085,0
1087,2
1088,2
1090,0
1092,0
1094,0
1095,0
1096,2
1098,0
1099,0
1100,0
1102,2
1104,2
1106,2
1107,2
1109,2
1110,2
1111,0
1112,0
1113,2
1114,2
1115,2
1119,2
1120,2
1121,2
1124,2
1125,2
1126,2
1130,2
1134,2
1135,2
1137,2
1138,2
1143,0
1144,0
1149,2
1154,2
1156,0
1159,2
1162,0
1163,2
1164,0
1166,0
1167,0
1168,0
1172,2
1173,0
