zone_id,total_volume,mean_hourly_volume,volume_decile
102,232359,53.4897,5
104,32512.1,7.48437,1
105,272084,62.6345,6
106,362832,83.5248,7
107,313778,72.2324,6
108,251883,57.9841,5
109,162142,37.3254,4
110,145130,33.4093,4
111,240764,55.4245,5
115,28324.3,6.52033,1
123,76235.2,17.5496,3
124,208883,48.0853,5
202,163415,37.6186,4
204,179647,41.3552,5
205,87984.2,20.2542,3
206,418440,96.3261,7
208,104553,24.0684,3
212,46222.2,10.6405,2
213,266491,61.347,6
214,15080.3,3.47153,1
215,126377,29.0924,4
216,169786,39.0852,4
217,847082,195,8
223,943014,217.084,8
224,489124,112.598,7
225,55665.2,12.8143,2
226,735901,169.406,8
227,697168,160.49,8
235,316002,72.7444,6
307,1.01465e+06,233.575,9
309,231722,53.3431,5
310,46208.2,10.6372,2
311,249090,57.3412,5
316,56021.6,12.8963,2
320,56180.1,12.9328,2
321,111978,25.7776,3
322,120529,27.7461,4
323,278831,64.1876,6
324,143434,33.019,4
325,229213,52.7653,5
326,318688,73.3629,6
328,539368,124.164,8
329,1.73953e+06,400.445,10
330,256168,58.9705,6
331,427863,98.4951,7
332,729999,168.048,8
333,149116,34.327,4
335,1.74426e+06,401.533,10
340,8512.88,1.95969,1
343,106240,24.4566,3
346,8.42077e+06,1938.48,10
347,78593.1,18.0923,3
348,65371.2,15.0486,2
406,61421.8,14.1395,2
408,157571,36.2733,4
501,525392,120.947,8
502,688904,158.587,8
506,1.65121e+06,380.113,9
508,229468,52.8241,5
511,24338.4,5.60277,1
512,438577,100.962,7
513,1.59108e+06,366.272,9
516,986327,227.055,8
519,5.17262e+06,1190.75,10
520,512087,117.884,7
522,1.13056e+06,260.257,9
525,468316,107.808,7
526,1.67337e+06,385.213,9
527,977601,225.046,8
528,91568.8,21.0794,3
529,330814,76.1541,6
552,467947,107.723,7
553,62507.1,14.3893,2
558,33979.2,7.82209,1
559,25669,5.90907,1
568,29330.3,6.75191,1
570,335404,77.2108,6
575,3.05437e+06,703.124,10
576,3.77604e+06,869.255,10
577,120238,27.6792,4
578,37794.2,8.70031,1
580,41062,9.45258,1
582,440115,101.316,7
584,317028,72.9807,6
585,51555.6,11.8682,2
587,853488,196.475,8
588,1.0259e+06,236.165,9
589,1.04308e+06,240.12,9
592,1.27872e+07,2943.65,10
594,137481,31.6484,4
595,2.93027e+07,6745.57,10
596,544995,125.459,8
598,94522.8,21.7594,3
601,82380.1,18.9641,3
628,1.01495e+06,233.644,9
631,240904,55.4568,5
632,229840,52.9097,5
633,1.48999e+07,3430.01,10
637,989836,227.863,9
638,57163.2,13.1591,2
643,129374,29.7822,4
644,212574,48.935,5
647,33580.8,7.73038,1
651,25117.2,5.78204,1
655,68054,15.6662,2
656,167222,38.4949,4
659,63848.8,14.6981,2
681,77592.1,17.8619,3
682,6.31374e+06,1453.44,10
686,142162,32.726,4
687,36031.3,8.29451,1
690,1.16809e+07,2688.97,10
691,458861,105.631,7
693,194920,44.8711,5
698,80036.5,18.4246,3
699,308161,70.9395,6
700,499220,114.922,7
701,77110.8,17.7511,3
703,1.61656e+06,372.137,9
704,1.11607e+06,256.923,9
705,279895,64.4325,6
706,168319,38.7476,4
708,5.59021e+06,1286.88,10
709,281306,64.7575,6
710,272973,62.8391,6
711,112274,25.8457,3
712,618642,142.413,8
715,2.06547e+06,475.476,10
716,2.1703e+06,499.609,10
718,31337.2,7.21392,1
719,81933.8,18.8614,3
724,839570,193.271,8
728,171641,39.5122,4
729,2.95978e+06,681.35,10
731,221924,51.0875,5
732,22977.5,5.28948,1
733,1.40157e+06,322.645,9
737,104867,24.1407,3
741,227869,52.456,5
744,406295,93.5302,7
745,170341,39.2129,4
746,1.08862e+06,250.602,9
751,399486,91.9628,7
771,276795,63.719,6
773,650772,149.81,8
775,1.33545e+07,3074.25,10
777,1.20138e+07,2765.6,10
781,1.51095e+06,347.826,9
783,33535.2,7.7199,1
790,57991.2,13.3497,2
792,72125.7,16.6035,2
795,1.31394e+06,302.473,9
799,698398,160.773,8
802,520837,119.898,7
804,1.32029e+06,303.934,9
805,117931,27.1481,3
809,957613,220.445,8
832,373839,86.0587,7
842,860200,198.02,8
844,1.68208e+07,3872.2,10
848,61120.5,14.0701,2
849,246986,56.8568,5
851,1.43937e+06,331.346,9
852,42284.4,9.73397,1
855,1.18068e+06,271.796,9
858,4.44467e+06,1023.17,10
862,180158,41.4729,5
881,691167,159.108,8
882,65146.1,14.9968,2
883,64862,14.9314,2
887,277766,63.9424,6
888,1.25066e+06,287.905,9
890,6031.38,1.38844,1
891,5.54906e+06,1277.41,10
893,47254.1,10.878,2
895,5.39694e+06,1242.39,10
897,665612,153.226,8
900,101265,23.3114,3
901,45557.8,10.4875,1
902,173044,39.8351,4
903,303376,69.8379,6
904,282529,65.0388,6
937,16464.9,3.79026,1
943,207463,47.7585,5
958,297519,68.4897,6
965,1.45252e+06,334.374,9
966,1.48645e+06,342.184,9
967,186247,42.8746,5
969,347338,79.9582,7
972,681240,156.823,8
974,1.38592e+06,319.041,9
975,113610,26.1533,3
977,94711.5,21.8028,3
979,74334.8,17.1121,2
981,895815,206.219,8
982,176276,40.5793,4
983,139547,32.1242,4
984,71923.2,16.5569,2
986,1.53137e+06,352.526,9
987,42295.8,9.73659,1
988,187456,43.1528,5
989,617631,142.18,8
991,88167.3,20.2963,3
996,1.34978e+06,310.724,9
998,578801,133.242,8
1000,981110,225.854,8
1009,1.15018e+06,264.774,9
1011,1.55421e+06,357.783,9
1015,444765,102.386,7
1026,1.37559e+07,3166.65,10
1029,3.50563e+06,807.005,10
1031,1.70986e+06,393.613,10
1043,278101,64.0195,6
1049,2.29791e+06,528.986,10
1060,61380.1,14.1299,2
1061,401857,92.5086,7
1062,312760,71.9981,6
1066,182626,42.041,5
1067,399153,91.8861,7
